,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6024896,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Lucid Dreams","Juice WRLD",4260964,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
3,ROXANNE,"Arizona Zervas",4181885,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Circles,"Post Malone",3805122,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3655212,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Señorita,"Shawn Mendes",3404481,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
7,"Don't Start Now","Dua Lipa",3272428,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"everything i wanted","Billie Eilish",3229442,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Someone You Loved","Lewis Capaldi",3161970,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
10,Falling,"Trevor Daniel",3069966,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Blinding Lights","The Weeknd",2989027,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
12,Tusa,"KAROL G",2979237,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
13,"All I Want for Christmas Is You","Mariah Carey",2977696,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
14,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2794537,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",2745738,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"bad guy","Billie Eilish",2663287,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,Heartless,"The Weeknd",2589524,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
18,"Adore You","Harry Styles",2485257,https://open.spotify.com/track/1M4qEo4HE3PRaCOM7EXNJq
19,"Last Christmas",Wham!,2407072,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"Lose You To Love Me","Selena Gomez",2404405,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,"HIGHEST IN THE ROOM","Travis Scott",2379206,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
22,"hot girl bummer",blackbear,2278069,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
23,Robbery,"Juice WRLD",2244505,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
24,Vete,"Bad Bunny",2191534,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
25,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2092068,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
26,"Ride It",Regard,1954164,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
27,"Beautiful People (feat. Khalid)","Ed Sheeran",1927590,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
28,"Santa Tell Me","Ariana Grande",1919090,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
29,"I Don't Care (with Justin Bieber)","Ed Sheeran",1855172,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
30,"Hate Me (with Juice WRLD)","Ellie Goulding",1852378,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
31,China,"Anuel AA",1800425,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
32,Legends,"Juice WRLD",1749473,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
33,"Watermelon Sugar","Harry Styles",1741242,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
34,"All Girls Are The Same","Juice WRLD",1707101,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
35,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1706261,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
36,"How Do You Sleep?","Sam Smith",1664135,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
37,"My Oh My (feat. DaBaby)","Camila Cabello",1649653,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
38,"7 rings","Ariana Grande",1645730,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
39,"Rockin' Around The Christmas Tree","Brenda Lee",1606055,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
40,"Before You Go","Lewis Capaldi",1604340,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,BOP,DaBaby,1590285,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
42,"Jingle Bell Rock","Bobby Helms",1588807,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
43,Fantasias,"Rauw Alejandro",1582276,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
44,"LA CANCIÓN","J Balvin",1563256,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
45,"10,000 Hours (with Justin Bieber)","Dan + Shay",1525427,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
46,"Goodbyes (Feat. Young Thug)","Post Malone",1507224,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
47,Lalala,Y2K,1501736,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
48,"It's the Most Wonderful Time of the Year","Andy Williams",1474713,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
49,Mistletoe,"Justin Bieber",1466384,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
50,Liar,"Camila Cabello",1438612,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
51,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1398202,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
52,Shallow,"Lady Gaga",1389730,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
53,Callaita,"Bad Bunny",1380922,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
54,"No Me Conoce - Remix","Jhay Cortez",1352911,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
55,"Old Town Road - Remix","Lil Nas X",1342877,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
56,"Trampoline (with ZAYN)",SHAED,1308170,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
57,"Lose Control",MEDUZA,1301816,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
58,Ransom,"Lil Tecca",1300535,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
59,"Adicto (with Anuel AA & Ozuna)",Tainy,1293671,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
60,"when the party's over","Billie Eilish",1283066,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
61,"Lights Up","Harry Styles",1258293,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
62,Wow.,"Post Malone",1256590,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
63,"Lean Wit Me","Juice WRLD",1252350,https://open.spotify.com/track/3oDkdAySo1VQQG0ptV7uwa
64,"It's You","Ali Gatie",1251959,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
65,"lovely (with Khalid)","Billie Eilish",1247794,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
66,"Do They Know It's Christmas? - 1984 Version","Band Aid",1238366,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
67,"Holly Jolly Christmas","Michael Bublé",1216370,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
68,"Que Tire Pa Lante","Daddy Yankee",1215244,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
69,"Ayy Macarena",Tyga,1195099,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
70,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1192304,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
71,"Whine Up","Nicky Jam",1191496,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
72,"Armed And Dangerous","Juice WRLD",1178804,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
73,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1177715,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
74,"Ransom (with Juice WRLD) - Remix","Lil Tecca",1173152,https://open.spotify.com/track/2WsuSYJNXGKXVYkHPnq2yp
75,"Without Me",Halsey,1156035,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
76,Happier,Marshmello,1144069,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
77,"Underneath the Tree","Kelly Clarkson",1135758,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
78,"No Idea","Don Toliver",1130872,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
79,"Feliz Navidad","José Feliciano",1112783,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
80,Sucker,"Jonas Brothers",1101662,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
81,"Truth Hurts",Lizzo,1091036,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
82,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1088864,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
83,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1072013,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
84,"Mean It",Lauv,1068742,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
85,"Into the Unknown","Idina Menzel",1055333,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
86,"Hola - Remix",Dalex,1054331,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
87,"thank u, next","Ariana Grande",1054260,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
88,"Yellow Hearts","Ant Saunders",1041799,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
89,Aventura,Lunay,1035272,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
90,"Dancing With A Stranger (with Normani)","Sam Smith",1015211,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
91,"Piece Of Your Heart",MEDUZA,1014020,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
92,"No Guidance (feat. Drake)","Chris Brown",1009753,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
