,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",8118121,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,"Therefore I Am","Billie Eilish",5106506,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,"Mood (feat. iann dior)",24kGoldn,4888654,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,positions,"Ariana Grande",4851098,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4066694,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,"What You Know Bout Love","Pop Smoke",3331081,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3192248,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"Lonely (with benny blanco)","Justin Bieber",3162342,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
9,"Blinding Lights","The Weeknd",3098909,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"WAP (feat. Megan Thee Stallion)","Cardi B",3048248,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,Hawái,Maluma,2991608,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Watermelon Sugar","Harry Styles",2740717,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2694314,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Head & Heart (feat. MNEK)","Joel Corry",2608314,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,"Holy (feat. Chance The Rapper)","Justin Bieber",2586319,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
16,"Hawái - Remix",Maluma,2510572,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
17,"you broke me first","Tate McRae",2500104,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"Relación - Remix",Sech,2363461,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,BICHOTA,"KAROL G",2285910,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
20,34+35,"Ariana Grande",2216868,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
21,"La Nota","Manuel Turizo",2209319,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2197212,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
23,"La Tóxica",Farruko,2094141,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
24,"Se Te Nota (with Guaynaa)","Lele Pons",2067824,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
25,"Put Your Records On","Ritt Momney",2065600,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
26,"Levitating (feat. DaBaby)","Dua Lipa",2043491,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,pov,"Ariana Grande",2039832,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
28,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1999520,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
29,"Vida de Rico",Camilo,1992082,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
30,Heather,"Conan Gray",1941699,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
31,"La Curiosidad","Jay Wheeler",1896654,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
32,"Someone You Loved","Lewis Capaldi",1893709,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
33,Jeans,"Justin Quiles",1859251,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
34,"Una Locura",Ozuna,1839956,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
35,"Take You Dancing","Jason Derulo",1832513,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
36,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1829903,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
