,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",7163934,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"All I Want for Christmas Is You","Mariah Carey",5040783,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,ROXANNE,"Arizona Zervas",4900157,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"Last Christmas",Wham!,4078386,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,Memories,"Maroon 5",3886620,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Circles,"Post Malone",3874027,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,"Don't Start Now","Dua Lipa",3764809,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Falling,"Trevor Daniel",3724922,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,Tusa,"KAROL G",3614124,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Blinding Lights","The Weeknd",3460213,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,"everything i wanted","Billie Eilish",3327761,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Señorita,"Shawn Mendes",3288760,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Adore You","Harry Styles",3214043,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
14,"RITMO (Bad Boys For Life)","Black Eyed Peas",3156066,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
15,"Someone You Loved","Lewis Capaldi",3080539,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"Santa Tell Me","Ariana Grande",3036847,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,"bad guy","Billie Eilish",2635956,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2623796,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
19,"Watermelon Sugar","Harry Styles",2623094,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Rockin' Around The Christmas Tree","Brenda Lee",2575373,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
21,"Jingle Bell Rock","Bobby Helms",2553548,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
22,"HIGHEST IN THE ROOM","Travis Scott",2536731,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
23,"Lucid Dreams","Juice WRLD",2487466,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
24,"Lose You To Love Me","Selena Gomez",2462482,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
25,Vete,"Bad Bunny",2434026,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
26,"Futsal Shuffle 2020","Lil Uzi Vert",2388437,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
27,"hot girl bummer",blackbear,2376503,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
28,"It's the Most Wonderful Time of the Year","Andy Williams",2370895,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
29,"Ride It",Regard,2260745,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,Mistletoe,"Justin Bieber",2258267,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
31,"My Oh My (feat. DaBaby)","Camila Cabello",2248207,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
32,Heartless,"The Weeknd",2216784,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
33,"The Box","Roddy Ricch",2136681,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
34,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",2048282,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
35,"Do They Know It's Christmas? - 1984 Version","Band Aid",2039336,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
36,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2033431,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
37,"Holly Jolly Christmas","Michael Bublé",2007383,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
38,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1971196,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
39,"Feliz Navidad","José Feliciano",1967361,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
40,China,"Anuel AA",1954622,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
41,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1952988,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
42,BOP,DaBaby,1883096,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
43,"Beautiful People (feat. Khalid)","Ed Sheeran",1870466,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
