,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6371150,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4242225,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"All I Want for Christmas Is You","Mariah Carey",4077010,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,Señorita,"Shawn Mendes",3751385,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,Circles,"Post Malone",3647985,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,Memories,"Maroon 5",3584054,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"Last Christmas",Wham!,3309744,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
8,"Someone You Loved","Lewis Capaldi",3164740,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Don't Start Now","Dua Lipa",3129922,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"RITMO (Bad Boys For Life)","Black Eyed Peas",2996592,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
11,"everything i wanted","Billie Eilish",2959965,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"bad guy","Billie Eilish",2937634,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
13,Tusa,"KAROL G",2926751,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,Falling,"Trevor Daniel",2785464,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,"Blinding Lights","The Weeknd",2713886,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
16,Heartless,"The Weeknd",2665274,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
17,"Santa Tell Me","Ariana Grande",2544237,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
18,"Adore You","Harry Styles",2421629,https://open.spotify.com/track/1M4qEo4HE3PRaCOM7EXNJq
19,"HIGHEST IN THE ROOM","Travis Scott",2331637,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2311047,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
21,Vete,"Bad Bunny",2287945,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
22,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2283851,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
23,"hot girl bummer",blackbear,2275621,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
24,"Lose You To Love Me","Selena Gomez",2207735,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
25,"Rockin' Around The Christmas Tree","Brenda Lee",2170523,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
26,"Jingle Bell Rock","Bobby Helms",2084464,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
27,China,"Anuel AA",2072674,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
28,"Ride It",Regard,2036746,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
29,"I Don't Care (with Justin Bieber)","Ed Sheeran",2015952,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
30,"Beautiful People (feat. Khalid)","Ed Sheeran",2012977,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
31,"It's the Most Wonderful Time of the Year","Andy Williams",1980949,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
32,Mistletoe,"Justin Bieber",1909874,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
33,"7 rings","Ariana Grande",1879976,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
34,"Watermelon Sugar","Harry Styles",1747756,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
35,"LA CANCIÓN","J Balvin",1745310,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
36,Lalala,Y2K,1728891,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
37,"Do They Know It's Christmas? - 1984 Version","Band Aid",1708775,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
38,Fantasias,"Rauw Alejandro",1694950,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
39,"Old Town Road - Remix","Lil Nas X",1680277,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
40,Callaita,"Bad Bunny",1652274,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
41,"Holly Jolly Christmas","Michael Bublé",1612593,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
42,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1611822,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
43,"How Do You Sleep?","Sam Smith",1611755,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
44,"Goodbyes (Feat. Young Thug)","Post Malone",1610883,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
45,"No Me Conoce - Remix","Jhay Cortez",1577598,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
46,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1548734,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
47,Shallow,"Lady Gaga",1543930,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
48,Ransom,"Lil Tecca",1534190,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
49,"My Oh My (feat. DaBaby)","Camila Cabello",1501907,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
50,"Underneath the Tree","Kelly Clarkson",1500042,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
51,BOP,DaBaby,1490751,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
52,"10,000 Hours (with Justin Bieber)","Dan + Shay",1480638,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
53,Liar,"Camila Cabello",1476816,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
54,"Feliz Navidad","José Feliciano",1468599,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
55,"Adicto (with Anuel AA & Ozuna)",Tainy,1456094,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
56,"Before You Go","Lewis Capaldi",1455761,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
