,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",6396150,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,"Mood (feat. iann dior)",24kGoldn,5498059,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,Dakiti,"Bad Bunny",4483611,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4433379,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,34+35,"Ariana Grande",4215780,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
6,"Blinding Lights","The Weeknd",3833640,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"WAP (feat. Megan Thee Stallion)","Cardi B",3716587,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
8,Hawái,Maluma,3674200,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,Dynamite,BTS,3626329,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
10,"What You Know Bout Love","Pop Smoke",3549812,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
11,"motive (with Doja Cat)","Ariana Grande",3134300,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3070054,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Lonely (with benny blanco)","Justin Bieber",3041094,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
14,"Holy (feat. Chance The Rapper)","Justin Bieber",2981417,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
15,"Watermelon Sugar","Harry Styles",2941695,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Head & Heart (feat. MNEK)","Joel Corry",2824767,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"off the table (with The Weeknd)","Ariana Grande",2588592,https://open.spotify.com/track/7E1jVNoWuemqUryI4FxsVD
18,"Relación - Remix",Sech,2574937,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,"you broke me first","Tate McRae",2522833,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
20,Thriller,"Michael Jackson",2427258,https://open.spotify.com/track/3S2R0EVwBSAVMd5UMgKTL0
21,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2392299,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
22,"Put Your Records On","Ritt Momney",2392182,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
23,pov,"Ariana Grande",2318947,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
24,"just like magic","Ariana Grande",2315362,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
