,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6279793,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4381254,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",3747602,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,Memories,"Maroon 5",3694029,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Adore You","Harry Styles",3582556,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
6,Falling,"Trevor Daniel",3445958,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",3438713,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"All I Want for Christmas Is You","Mariah Carey",3346452,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,"Blinding Lights","The Weeknd",3174518,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"everything i wanted","Billie Eilish",3163665,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Tusa,"KAROL G",3098589,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
12,Señorita,"Shawn Mendes",3076242,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Watermelon Sugar","Harry Styles",3060931,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Someone You Loved","Lewis Capaldi",2996084,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Lucid Dreams","Juice WRLD",2786309,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
16,"RITMO (Bad Boys For Life)","Black Eyed Peas",2783833,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,"Last Christmas",Wham!,2719035,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
18,"Futsal Shuffle 2020","Lil Uzi Vert",2706374,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
19,"Lose You To Love Me","Selena Gomez",2402070,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
20,"HIGHEST IN THE ROOM","Travis Scott",2313360,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
21,"hot girl bummer",blackbear,2260546,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,"Lights Up","Harry Styles",2248236,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
23,Heartless,"The Weeknd",2238526,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
24,"bad guy","Billie Eilish",2234115,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
25,Vete,"Bad Bunny",2208005,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
26,"Santa Tell Me","Ariana Grande",2162915,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
27,Falling,"Harry Styles",2025912,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
28,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1997442,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
29,"Ride It",Regard,1992431,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,"My Oh My (feat. DaBaby)","Camila Cabello",1977304,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1860994,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
32,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1860541,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,"Beautiful People (feat. Khalid)","Ed Sheeran",1801915,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
