,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7101188,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,"Therefore I Am","Billie Eilish",4513301,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,positions,"Ariana Grande",4363316,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
4,"Mood (feat. iann dior)",24kGoldn,4237417,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3473774,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,Dynamite,BTS,2931476,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
7,"What You Know Bout Love","Pop Smoke",2921649,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
8,"Lonely (with benny blanco)","Justin Bieber",2809768,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
9,"Blinding Lights","The Weeknd",2679655,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Hawái,Maluma,2632163,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"WAP (feat. Megan Thee Stallion)","Cardi B",2629553,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
12,"Watermelon Sugar","Harry Styles",2364428,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2318625,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"you broke me first","Tate McRae",2297004,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Holy (feat. Chance The Rapper)","Justin Bieber",2238328,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
16,"Head & Heart (feat. MNEK)","Joel Corry",2103327,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,BICHOTA,"KAROL G",2068457,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
18,"Hawái - Remix",Maluma,2064724,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
19,"Relación - Remix",Sech,2055668,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,34+35,"Ariana Grande",1984586,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
21,pov,"Ariana Grande",1936109,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
22,"La Nota","Manuel Turizo",1888023,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
23,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1858441,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
24,Heather,"Conan Gray",1856293,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
25,"La Tóxica",Farruko,1823844,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
26,"Put Your Records On","Ritt Momney",1818747,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
27,"Se Te Nota (with Guaynaa)","Lele Pons",1803255,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
28,"Levitating (feat. DaBaby)","Dua Lipa",1782777,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
29,"Vida de Rico",Camilo,1754195,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
30,"Someone You Loved","Lewis Capaldi",1749558,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
