,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",5328206,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2,"Mood (feat. iann dior)",24kGoldn,5089843,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4156811,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,Dynamite,BTS,3561012,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"What You Know Bout Love","Pop Smoke",3545211,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,"WAP (feat. Megan Thee Stallion)","Cardi B",3424148,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
7,"Lonely (with benny blanco)","Justin Bieber",3195086,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
8,Hawái,Maluma,3192362,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,"Blinding Lights","The Weeknd",3182012,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"Holy (feat. Chance The Rapper)","Justin Bieber",3007700,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
11,"Watermelon Sugar","Harry Styles",2992099,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2926069,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Head & Heart (feat. MNEK)","Joel Corry",2649431,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"you broke me first","Tate McRae",2608956,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Put Your Records On","Ritt Momney",2326690,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2315339,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2267944,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,"Relación - Remix",Sech,2218148,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,Wonder,"Shawn Mendes",2150854,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
20,Heather,"Conan Gray",2148588,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1998255,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,"Someone You Loved","Lewis Capaldi",1969089,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Roses - Imanbek Remix","SAINt JHN",1932718,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
24,"La Tóxica",Farruko,1920648,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
25,"Vida de Rico",Camilo,1908593,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
26,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1849400,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
27,"Take You Dancing","Jason Derulo",1833168,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
28,"Dreams - 2004 Remaster","Fleetwood Mac",1798367,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
29,"La Curiosidad","Jay Wheeler",1790362,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
30,"Before You Go","Lewis Capaldi",1766958,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"Se Te Nota (with Guaynaa)","Lele Pons",1766503,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
32,"Ice Cream (with Selena Gomez)",BLACKPINK,1764066,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
33,"Breaking Me",Topic,1753059,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
34,"Midnight Sky","Miley Cyrus",1743295,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
35,"POPSTAR (feat. Drake)","DJ Khaled",1691440,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
36,"Dance Monkey","Tones And I",1674248,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
37,"Lovesick Girls",BLACKPINK,1664624,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
38,"Una Locura",Ozuna,1654061,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
39,"Levitating (feat. DaBaby)","Dua Lipa",1645273,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
40,Jeans,"Justin Quiles",1623107,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
41,"Ay, DiOs Mío!","KAROL G",1614381,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
42,Despeinada,Ozuna,1597443,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
43,"La Nota","Manuel Turizo",1575043,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
