,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7744326,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4793752,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4077791,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3919349,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3365516,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3217697,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3140898,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"WAP (feat. Megan Thee Stallion)","Cardi B",2863262,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,"Blinding Lights","The Weeknd",2823604,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Hawái,Maluma,2743113,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"Holy (feat. Chance The Rapper)","Justin Bieber",2597201,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2585241,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Watermelon Sugar","Harry Styles",2565583,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"you broke me first","Tate McRae",2524171,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Head & Heart (feat. MNEK)","Joel Corry",2362269,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,34+35,"Ariana Grande",2353778,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
17,"Relación - Remix",Sech,2148603,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Put Your Records On","Ritt Momney",2108960,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
