,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6685011,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,Dynamite,BTS,4574664,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
3,"Life Goes On",BTS,4519903,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
4,positions,"Ariana Grande",4289226,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"Mood (feat. iann dior)",24kGoldn,4021852,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"Therefore I Am","Billie Eilish",3933186,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
7,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",3714900,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
8,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3239823,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,BICHOTA,"KAROL G",2944737,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
10,"Lonely (with benny blanco)","Justin Bieber",2793744,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,"What You Know Bout Love","Pop Smoke",2730389,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
12,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2661868,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
13,"All I Want for Christmas Is You","Mariah Carey",2645172,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
14,"Blinding Lights","The Weeknd",2567861,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,Hawái,Maluma,2505432,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
16,"WAP (feat. Megan Thee Stallion)","Cardi B",2439624,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
17,"Fly To My Room",BTS,2381171,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
18,"Blue & Grey",BTS,2353187,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
19,34+35,"Ariana Grande",2223982,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,"Watermelon Sugar","Harry Styles",2200952,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,"you broke me first","Tate McRae",2165219,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
22,Telepathy,BTS,2163077,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
23,"Last Christmas",Wham!,2144194,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
24,"Holy (feat. Chance The Rapper)","Justin Bieber",2129538,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
25,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2104203,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
26,Dis-ease,BTS,2051276,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
27,"Relación - Remix",Sech,2002818,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
28,Stay,BTS,2001071,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
29,"Head & Heart (feat. MNEK)","Joel Corry",1952838,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
30,"La Nota","Manuel Turizo",1906365,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
31,pov,"Ariana Grande",1868695,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
32,"La Tóxica",Farruko,1815550,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
33,"Levitating (feat. DaBaby)","Dua Lipa",1794270,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
34,"Se Te Nota (with Guaynaa)","Lele Pons",1767229,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
35,"Vida de Rico",Camilo,1764929,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
36,Heather,"Conan Gray",1757290,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
37,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1748382,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
38,"Santa Tell Me","Ariana Grande",1743926,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
39,"Chica Ideal","Sebastian Yatra",1734967,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
40,"Hawái - Remix",Maluma,1722281,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
41,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1720772,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
42,"Someone You Loved","Lewis Capaldi",1708360,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
43,"Put Your Records On","Ritt Momney",1691983,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
44,Jeans,"Justin Quiles",1641479,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
45,"La Curiosidad","Jay Wheeler",1617046,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
46,"Mi Niña",Wisin,1574971,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
47,"Rockin' Around The Christmas Tree","Brenda Lee",1563362,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
48,"Parce (feat. Justin Quiles)",Maluma,1559445,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
49,Wonder,"Shawn Mendes",1555884,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
50,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1552323,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
51,"Jingle Bell Rock","Bobby Helms",1534765,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
52,"Una Locura",Ozuna,1531480,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
53,Whoopty,CJ,1490605,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
54,"Dance Monkey","Tones And I",1477762,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
55,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1441238,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
56,"Take You Dancing","Jason Derulo",1434914,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
57,HOLIDAY,"Lil Nas X",1433247,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
58,"Before You Go","Lewis Capaldi",1417916,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
59,"It's the Most Wonderful Time of the Year","Andy Williams",1405623,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
60,"Roses - Imanbek Remix","SAINt JHN",1390885,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
61,"Ay, DiOs Mío!","KAROL G",1390195,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
62,Reloj,"Rauw Alejandro",1321770,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
63,"Midnight Sky","Miley Cyrus",1311911,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
