,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7808626,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4828457,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4075741,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3907788,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3319938,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3162900,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3141019,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"Blinding Lights","The Weeknd",2903514,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"WAP (feat. Megan Thee Stallion)","Cardi B",2877026,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,Hawái,Maluma,2806143,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"Watermelon Sugar","Harry Styles",2587164,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2582232,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Holy (feat. Chance The Rapper)","Justin Bieber",2564621,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
14,"you broke me first","Tate McRae",2548005,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Head & Heart (feat. MNEK)","Joel Corry",2384823,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,34+35,"Ariana Grande",2357527,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
17,"Relación - Remix",Sech,2212592,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Put Your Records On","Ritt Momney",2072982,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"Hawái - Remix",Maluma,2068379,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
20,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2055967,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
21,"La Nota","Manuel Turizo",2054932,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,Heather,"Conan Gray",2036564,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
