,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6922521,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4626956,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Tusa,"KAROL G",4001850,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",3939294,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
5,Memories,"Maroon 5",3645616,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Falling,"Trevor Daniel",3585564,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Circles,"Post Malone",3555088,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Don't Start Now","Dua Lipa",3489542,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"Blinding Lights","The Weeknd",3242202,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"GANG GANG",JACKBOYS,3197985,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK
11,"OUT WEST (feat. Young Thug)",JACKBOYS,3185180,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
12,"everything i wanted","Billie Eilish",3102762,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,Señorita,"Shawn Mendes",3083439,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,"Had Enough (feat. Quavo & Offset)","Don Toliver",3031179,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",2934146,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"WHAT TO DO? (feat. Don Toliver)",JACKBOYS,2871333,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe
17,"Someone You Loved","Lewis Capaldi",2844914,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,"Adore You","Harry Styles",2566371,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
19,"bad guy","Billie Eilish",2540668,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
20,"The Box","Roddy Ricch",2538359,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
21,GATTI,JACKBOYS,2335212,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g
22,"My Oh My (feat. DaBaby)","Camila Cabello",2277293,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
23,"Lose You To Love Me","Selena Gomez",2271163,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
24,Vete,"Bad Bunny",2236978,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
25,"hot girl bummer",blackbear,2154532,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
26,"Watermelon Sugar","Harry Styles",2142439,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,"HIGHEST IN THE ROOM","Travis Scott",2131993,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
28,JACKBOYS,JACKBOYS,2071196,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o
29,"Ride It",Regard,2041661,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,Heartless,"The Weeknd",1874062,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
31,"Lucid Dreams","Juice WRLD",1859034,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1848222,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,China,"Anuel AA",1837370,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
34,BOP,DaBaby,1835066,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
35,"Beautiful People (feat. Khalid)","Ed Sheeran",1804079,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
36,"I Don't Care (with Justin Bieber)","Ed Sheeran",1771213,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
37,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1753584,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
38,"Futsal Shuffle 2020","Lil Uzi Vert",1723804,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
39,Fantasias,"Rauw Alejandro",1709140,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
