,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6953219,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,"Therefore I Am","Billie Eilish",5039095,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,positions,"Ariana Grande",4722783,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
4,"Mood (feat. iann dior)",24kGoldn,4234690,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3492594,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,"Lonely (with benny blanco)","Justin Bieber",3079651,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
7,Dynamite,BTS,3025033,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"What You Know Bout Love","Pop Smoke",2971283,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,"Blinding Lights","The Weeknd",2677432,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2557805,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,Hawái,Maluma,2479161,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Holy (feat. Chance The Rapper)","Justin Bieber",2420603,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
13,"you broke me first","Tate McRae",2413562,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,"Watermelon Sugar","Harry Styles",2394167,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2343629,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
16,"Head & Heart (feat. MNEK)","Joel Corry",2233818,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,BICHOTA,"KAROL G",2139586,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
18,pov,"Ariana Grande",2124804,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
19,34+35,"Ariana Grande",2117840,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
20,"Hawái - Remix",Maluma,2091040,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
21,"Relación - Remix",Sech,1947558,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
22,Heather,"Conan Gray",1937642,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,"Levitating (feat. DaBaby)","Dua Lipa",1922126,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
24,"Put Your Records On","Ritt Momney",1917781,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
25,"La Nota","Manuel Turizo",1858116,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
26,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1854200,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
27,"Someone You Loved","Lewis Capaldi",1824253,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
28,"Se Te Nota (with Guaynaa)","Lele Pons",1753929,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
29,"La Tóxica",Farruko,1730670,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
30,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1728714,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
31,Wonder,"Shawn Mendes",1718223,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
