,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1343903,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
54,"Lose Control",MEDUZA,1337091,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
55,"No Me Conoce - Remix","Jhay Cortez",1329186,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
56,BOP,DaBaby,1326630,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
57,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1296455,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
58,Liar,"Camila Cabello",1294088,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
59,"Into the Unknown","Idina Menzel",1258041,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
60,"Whine Up","Nicky Jam",1255091,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
61,"White Christmas","Bing Crosby",1254175,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
62,Ransom,"Lil Tecca",1223731,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
63,"Merry Christmas Everyone","Shakin' Stevens",1170829,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
64,"Have Yourself A Merry Little Christmas","Sam Smith",1159311,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
65,"Yellow Hearts","Ant Saunders",1146268,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
66,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1143888,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
67,"Look At Her Now","Selena Gomez",1140939,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
68,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1112544,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
