,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6062934,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4400053,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"everything i wanted","Billie Eilish",4290481,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
4,Memories,"Maroon 5",4197651,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Circles,"Post Malone",3916188,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Don't Start Now","Dua Lipa",3721574,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"Lose You To Love Me","Selena Gomez",3496003,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
8,"Someone You Loved","Lewis Capaldi",3234427,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",3119807,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,Señorita,"Shawn Mendes",3006172,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,"HIGHEST IN THE ROOM","Travis Scott",2960908,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,"hot girl bummer",blackbear,2755842,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,Vete,"Bad Bunny",2699049,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
14,Tusa,"KAROL G",2563706,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,Falling,"Trevor Daniel",2512341,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
16,"Ride It",Regard,2343064,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
17,"bad guy","Billie Eilish",2280312,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
