,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7697337,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4874905,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,4066887,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3900421,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3425495,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3241068,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3181079,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"WAP (feat. Megan Thee Stallion)","Cardi B",2883380,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,"Blinding Lights","The Weeknd",2800615,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Hawái,Maluma,2744064,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"Holy (feat. Chance The Rapper)","Justin Bieber",2656644,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2578768,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"Watermelon Sugar","Harry Styles",2574196,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"you broke me first","Tate McRae",2532295,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,34+35,"Ariana Grande",2420676,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,"Head & Heart (feat. MNEK)","Joel Corry",2386059,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"Relación - Remix",Sech,2146566,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
18,"Put Your Records On","Ritt Momney",2127274,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
19,"Hawái - Remix",Maluma,2092619,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
20,Heather,"Conan Gray",2034510,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2024469,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
22,"La Nota","Manuel Turizo",1954209,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
23,"Someone You Loved","Lewis Capaldi",1922788,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1913461,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
25,"Levitating (feat. DaBaby)","Dua Lipa",1897917,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,Wonder,"Shawn Mendes",1887800,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
27,"Se Te Nota (with Guaynaa)","Lele Pons",1879185,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
28,"La Tóxica",Farruko,1830632,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
