,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6635000,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"everything i wanted","Billie Eilish",4608829,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
3,ROXANNE,"Arizona Zervas",4473406,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Memories,"Maroon 5",4348639,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Circles,"Post Malone",4034470,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,Vete,"Bad Bunny",3784701,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
7,"Don't Start Now","Dua Lipa",3745528,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Lose You To Love Me","Selena Gomez",3570894,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",3469324,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"Someone You Loved","Lewis Capaldi",3364395,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,"HIGHEST IN THE ROOM","Travis Scott",3256018,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,Señorita,"Shawn Mendes",3207710,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"hot girl bummer",blackbear,2925407,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
14,"Watermelon Sugar","Harry Styles",2663987,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
15,"Ride It",Regard,2581914,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
16,Tusa,"KAROL G",2450362,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
17,"Before You Go","Lewis Capaldi",2370447,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
18,"bad guy","Billie Eilish",2345364,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
19,"Lights Up","Harry Styles",2338309,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
20,"LOYAL (feat. Drake)",PARTYNEXTDOOR,2250470,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
21,China,"Anuel AA",2194277,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
22,"Beautiful People (feat. Khalid)","Ed Sheeran",2165572,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
23,"10,000 Hours (with Justin Bieber)","Dan + Shay",2007554,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
24,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1967027,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
25,"How Do You Sleep?","Sam Smith",1942424,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
26,"Trampoline (with ZAYN)",SHAED,1899862,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
27,Falling,"Trevor Daniel",1899385,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
28,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1891211,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
29,"I Don't Care (with Justin Bieber)","Ed Sheeran",1835578,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
30,Fantasias,"Rauw Alejandro",1808315,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
31,"Que Tire Pa Lante","Daddy Yankee",1807450,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
32,Lalala,Y2K,1766818,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
