,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",8897180,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"LA NOCHE DE ANOCHE","Bad Bunny",4616856,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,"All I Want for Christmas Is You","Mariah Carey",4575782,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,positions,"Ariana Grande",4305615,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"Mood (feat. iann dior)",24kGoldn,4234711,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"Last Christmas",Wham!,3951513,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,"Therefore I Am","Billie Eilish",3725588,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
8,"TE MUDASTE","Bad Bunny",3675824,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
9,Dynamite,BTS,3671092,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
10,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3532417,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
11,BICHOTA,"KAROL G",3522458,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
12,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",3442515,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
13,"Blinding Lights","The Weeknd",3427625,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"YO VISTO ASÍ","Bad Bunny",3388457,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
15,"Prisoner (feat. Dua Lipa)","Miley Cyrus",3162398,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
16,"Santa Tell Me","Ariana Grande",3104973,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3094021,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
18,"HACIENDO QUE ME AMAS","Bad Bunny",3033151,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
19,"Life Goes On",BTS,2943937,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
20,"Rockin' Around The Christmas Tree","Brenda Lee",2848318,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
21,"What You Know Bout Love","Pop Smoke",2845944,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,"Jingle Bell Rock","Bobby Helms",2811654,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
23,"Lonely (with benny blanco)","Justin Bieber",2722382,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
24,"TE DESEO LO MEJOR","Bad Bunny",2679797,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
25,34+35,"Ariana Grande",2566187,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
26,"It's the Most Wonderful Time of the Year","Andy Williams",2524983,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
27,Hawái,Maluma,2476321,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
28,"BOOKER T","Bad Bunny",2432161,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
29,"WAP (feat. Megan Thee Stallion)","Cardi B",2425452,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
30,"Watermelon Sugar","Harry Styles",2345835,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
31,"Underneath the Tree","Kelly Clarkson",2289818,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
32,"HOY COBRÉ","Bad Bunny",2263446,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
33,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2250883,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
34,"MALDITA POBREZA","Bad Bunny",2245666,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
35,"Head & Heart (feat. MNEK)","Joel Corry",2231696,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
36,"LA DROGA","Bad Bunny",2213001,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
37,"you broke me first","Tate McRae",2198747,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
38,"EL MUNDO ES MÍO","Bad Bunny",2173817,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
39,"Holy (feat. Chance The Rapper)","Justin Bieber",2106110,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
40,"Relación - Remix",Sech,2056261,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
41,"Levitating (feat. DaBaby)","Dua Lipa",2043298,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
42,"La Nota","Manuel Turizo",1981098,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
43,Whoopty,CJ,1967058,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
44,Mistletoe,"Justin Bieber",1965118,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
45,"ANTES QUE SE ACABE","Bad Bunny",1945696,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
46,HOLIDAY,"Lil Nas X",1923215,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
47,TRELLAS,"Bad Bunny",1901896,https://open.spotify.com/track/09WAnxdBuebQopKhJT3oZS
48,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1901073,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
49,"SORRY PAPI","Bad Bunny",1897562,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
50,120,"Bad Bunny",1890126,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
51,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1883196,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
52,"La Tóxica",Farruko,1842769,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
53,"Chica Ideal","Sebastian Yatra",1834509,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
54,"Feliz Navidad","José Feliciano",1833252,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
55,"Midnight Sky","Miley Cyrus",1829958,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
56,"Vida de Rico",Camilo,1816096,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
57,"Se Te Nota (with Guaynaa)","Lele Pons",1801044,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
58,pov,"Ariana Grande",1768960,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
59,"Sleigh Ride","The Ronettes",1765962,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf
60,"Someone You Loved","Lewis Capaldi",1750592,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
61,"Do They Know It's Christmas? - 1984 Version","Band Aid",1727785,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
