,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5741878,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"Lucid Dreams","Juice WRLD",5544528,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
3,ROXANNE,"Arizona Zervas",3922309,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Circles,"Post Malone",3555824,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3444446,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",3354970,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
7,Señorita,"Shawn Mendes",3353172,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
8,"Someone You Loved","Lewis Capaldi",3107612,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"everything i wanted","Billie Eilish",3086317,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,"Don't Start Now","Dua Lipa",3017932,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"All I Want for Christmas Is You","Mariah Carey",2972596,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,Robbery,"Juice WRLD",2946918,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
13,Falling,"Trevor Daniel",2886392,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
14,"Blinding Lights","The Weeknd",2829241,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
15,Tusa,"KAROL G",2791169,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"bad guy","Billie Eilish",2656903,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,"RITMO (Bad Boys For Life)","Black Eyed Peas",2588593,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
