,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6467378,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4450783,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",3811016,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,Memories,"Maroon 5",3752907,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"All I Want for Christmas Is You","Mariah Carey",3564975,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
6,Falling,"Trevor Daniel",3521918,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",3518816,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Adore You","Harry Styles",3394843,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
9,"Blinding Lights","The Weeknd",3247654,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,Tusa,"KAROL G",3246877,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
11,"everything i wanted","Billie Eilish",3205029,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Señorita,"Shawn Mendes",3159172,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Someone You Loved","Lewis Capaldi",3056411,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Watermelon Sugar","Harry Styles",2887624,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"Last Christmas",Wham!,2845951,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
16,"RITMO (Bad Boys For Life)","Black Eyed Peas",2837771,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
17,"Lucid Dreams","Juice WRLD",2747893,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
18,"Futsal Shuffle 2020","Lil Uzi Vert",2517858,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
19,"Lose You To Love Me","Selena Gomez",2445961,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
20,"HIGHEST IN THE ROOM","Travis Scott",2419243,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
21,"bad guy","Billie Eilish",2312641,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"hot girl bummer",blackbear,2292679,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
23,Vete,"Bad Bunny",2274498,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
24,"Santa Tell Me","Ariana Grande",2241732,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
25,Heartless,"The Weeknd",2224329,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
26,"Lights Up","Harry Styles",2092157,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
27,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2038656,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
28,"Ride It",Regard,2032798,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
29,"My Oh My (feat. DaBaby)","Camila Cabello",2020299,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
30,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1935078,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1909272,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
32,Falling,"Harry Styles",1854794,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
33,"Beautiful People (feat. Khalid)","Ed Sheeran",1850519,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
34,"Rockin' Around The Christmas Tree","Brenda Lee",1846586,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
35,"Jingle Bell Rock","Bobby Helms",1816817,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
36,BOP,DaBaby,1786051,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
37,China,"Anuel AA",1774153,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
38,"I Don't Care (with Justin Bieber)","Ed Sheeran",1767412,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
39,"Before You Go","Lewis Capaldi",1755985,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"The Box","Roddy Ricch",1717312,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
41,"It's the Most Wonderful Time of the Year","Andy Williams",1707511,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
42,Mistletoe,"Justin Bieber",1684695,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
43,Fantasias,"Rauw Alejandro",1650662,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
44,"How Do You Sleep?","Sam Smith",1587172,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
45,"No Idea","Don Toliver",1529096,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
46,"10,000 Hours (with Justin Bieber)","Dan + Shay",1519039,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
47,"LA CANCIÓN","J Balvin",1501046,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
48,"7 rings","Ariana Grande",1453470,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
49,"Holly Jolly Christmas","Michael Bublé",1449478,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
50,"Do They Know It's Christmas? - 1984 Version","Band Aid",1415988,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
