,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1619944,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
53,"Someone You Loved","Lewis Capaldi",1613901,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
54,"La Tóxica",Farruko,1589699,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
55,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1583549,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
56,"Chica Ideal","Sebastian Yatra",1574235,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
57,"Vida de Rico",Camilo,1569002,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
58,"LA DROGA","Bad Bunny",1562420,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
59,"Se Te Nota (with Guaynaa)","Lele Pons",1540975,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
60,"MALDITA POBREZA","Bad Bunny",1528661,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
61,"HOY COBRÉ","Bad Bunny",1524601,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
62,"Midnight Sky","Miley Cyrus",1503254,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
63,"Put Your Records On","Ritt Momney",1468322,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
64,Wonder,"Shawn Mendes",1459712,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
65,Jeans,"Justin Quiles",1448759,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
66,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1434031,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
67,Body,"Megan Thee Stallion",1403617,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
68,"Dance Monkey","Tones And I",1396132,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
69,"Hawái - Remix",Maluma,1396022,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
70,"EL MUNDO ES MÍO","Bad Bunny",1383596,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
71,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1377438,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
72,"Mi Niña",Wisin,1371727,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
73,"ANTES QUE SE ACABE","Bad Bunny",1367503,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
74,"La Curiosidad","Jay Wheeler",1365732,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
75,"Before You Go","Lewis Capaldi",1365317,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
76,Reloj,"Rauw Alejandro",1363418,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
77,"Una Locura",Ozuna,1347251,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
78,"SORRY PAPI","Bad Bunny",1347172,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
79,"Parce (feat. Justin Quiles)",Maluma,1343436,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
80,120,"Bad Bunny",1333988,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
81,"Merry Christmas Everyone","Shakin' Stevens",1321786,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
82,"Roses - Imanbek Remix","SAINt JHN",1305559,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
83,TRELLAS,"Bad Bunny",1304111,https://open.spotify.com/track/09WAnxdBuebQopKhJT3oZS
84,"Ay, DiOs Mío!","KAROL G",1283618,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
85,"Take You Dancing","Jason Derulo",1253761,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
86,"Angels Like You","Miley Cyrus",1224258,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
87,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1179954,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
88,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1171537,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
89,"SO DONE","The Kid LAROI",1169547,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
90,Sofia,Clairo,1160100,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
91,"Don't Start Now","Dua Lipa",1157918,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
92,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1155391,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
93,"lovely (with Khalid)","Billie Eilish",1153729,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
94,"Breaking Me",Topic,1150982,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
95,"Blue & Grey",BTS,1150681,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
96,Golden,"Harry Styles",1150177,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
97,"Sweater Weather","The Neighbourhood",1135181,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
98,"Fly To My Room",BTS,1125866,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
99,"White Christmas","Bing Crosby",1116972,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
100,"Train Wreck","James Arthur",1115665,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
101,"death bed (coffee for your head)",Powfu,1114112,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
102,"Paradise (feat. Dermot Kennedy)",MEDUZA,1108729,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
103,Despeinada,Ozuna,1108308,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
104,"Tattoo - Remix with Camilo","Rauw Alejandro",1102546,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
105,"The Business",Tiësto,1078363,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
106,"Lucid Dreams","Juice WRLD",1069389,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
107,"Come & Go (with Marshmello)","Juice WRLD",1058271,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
108,"Dreams - 2004 Remaster","Fleetwood Mac",1055039,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
109,Circles,"Post Malone",1053634,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
110,"Wishing Well","Juice WRLD",1051129,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
111,goosebumps,"Travis Scott",1047222,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
112,"A Holly Jolly Christmas - Single Version","Burl Ives",1043550,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
113,"Blueberry Faygo","Lil Mosey",1034658,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
114,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1032570,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
115,Daisy,Ashnikko,1028767,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
