,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6417441,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4146649,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Señorita,"Shawn Mendes",3976279,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,Circles,"Post Malone",3839725,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3688055,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"All I Want for Christmas Is You","Mariah Carey",3456562,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
7,"Someone You Loved","Lewis Capaldi",3443782,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"Don't Start Now","Dua Lipa",3268862,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"everything i wanted","Billie Eilish",3214317,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,"bad guy","Billie Eilish",3186687,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
11,"Adore You","Harry Styles",3100232,https://open.spotify.com/track/1M4qEo4HE3PRaCOM7EXNJq
12,"Blinding Lights","The Weeknd",2992263,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,Heartless,"The Weeknd",2986939,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
14,"RITMO (Bad Boys For Life)","Black Eyed Peas",2961453,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
15,Tusa,"KAROL G",2920247,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,Falling,"Trevor Daniel",2815328,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"Last Christmas",Wham!,2784139,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
18,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2556724,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
19,"HIGHEST IN THE ROOM","Travis Scott",2509762,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
20,"Lose You To Love Me","Selena Gomez",2394974,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,Vete,"Bad Bunny",2381376,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
22,"hot girl bummer",blackbear,2363629,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",2200959,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Beautiful People (feat. Khalid)","Ed Sheeran",2194465,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
25,"Santa Tell Me","Ariana Grande",2174036,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
26,"Watermelon Sugar","Harry Styles",2153376,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
27,China,"Anuel AA",2109505,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
28,"7 rings","Ariana Grande",2097525,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
29,"Ride It",Regard,2093881,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1881881,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
31,"My Oh My (feat. DaBaby)","Camila Cabello",1834624,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
32,"LA CANCIÓN","J Balvin",1802045,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
33,"Goodbyes (Feat. Young Thug)","Post Malone",1783254,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
34,"How Do You Sleep?","Sam Smith",1763599,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
35,Lalala,Y2K,1755150,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
36,"Old Town Road - Remix","Lil Nas X",1754640,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
37,"Rockin' Around The Christmas Tree","Brenda Lee",1750900,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
38,"Lights Up","Harry Styles",1715133,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
39,Callaita,"Bad Bunny",1707398,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
40,Shallow,"Lady Gaga",1706693,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
41,Fantasias,"Rauw Alejandro",1692179,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
42,"Jingle Bell Rock","Bobby Helms",1690439,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
43,Liar,"Camila Cabello",1676967,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
44,"SUGA's Interlude",Halsey,1629008,https://open.spotify.com/track/5a0nHa7F4S9hb0Zi0zLS8w
45,"No Me Conoce - Remix","Jhay Cortez",1627070,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
46,Mistletoe,"Justin Bieber",1622203,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
47,"It's the Most Wonderful Time of the Year","Andy Williams",1609169,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
48,"10,000 Hours (with Justin Bieber)","Dan + Shay",1589779,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
49,"Before You Go","Lewis Capaldi",1586900,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
50,Ransom,"Lil Tecca",1552596,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
51,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1540372,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
52,BOP,DaBaby,1529805,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
53,"when the party's over","Billie Eilish",1516198,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
54,Wow.,"Post Malone",1509367,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
55,"Adicto (with Anuel AA & Ozuna)",Tainy,1482471,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
56,"Lose Control",MEDUZA,1419829,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
57,"Do They Know It's Christmas? - 1984 Version","Band Aid",1397364,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
58,"Without Me",Halsey,1387458,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
59,"lovely (with Khalid)","Billie Eilish",1384515,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
60,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1381383,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
61,"Truth Hurts",Lizzo,1381215,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
62,"Trampoline (with ZAYN)",SHAED,1367454,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
63,Sucker,"Jonas Brothers",1343335,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
64,"Que Tire Pa Lante","Daddy Yankee",1341489,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
