,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",7105689,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"All I Want for Christmas Is You","Mariah Carey",5371038,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,ROXANNE,"Arizona Zervas",4774844,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"Last Christmas",Wham!,4369927,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,Memories,"Maroon 5",3754026,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Circles,"Post Malone",3650196,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,Tusa,"KAROL G",3648064,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
8,"Don't Start Now","Dua Lipa",3583860,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,Falling,"Trevor Daniel",3573587,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Blinding Lights","The Weeknd",3247683,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,"everything i wanted","Billie Eilish",3213170,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"Santa Tell Me","Ariana Grande",3191944,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,"RITMO (Bad Boys For Life)","Black Eyed Peas",3188762,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
14,Señorita,"Shawn Mendes",3185201,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
15,"Adore You","Harry Styles",2904605,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,"Someone You Loved","Lewis Capaldi",2901471,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2896666,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
18,"Rockin' Around The Christmas Tree","Brenda Lee",2792530,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
19,"Jingle Bell Rock","Bobby Helms",2769013,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
20,"bad guy","Billie Eilish",2662615,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
21,"It's the Most Wonderful Time of the Year","Andy Williams",2592146,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
22,Vete,"Bad Bunny",2389538,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
23,Mistletoe,"Justin Bieber",2359409,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
