,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5607244,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4012072,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Memories,"Maroon 5",3816450,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,"everything i wanted","Billie Eilish",3694044,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
5,Circles,"Post Malone",3357902,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Don't Start Now","Dua Lipa",3022422,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"RITMO (Bad Boys For Life)","Black Eyed Peas",2935602,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
8,"Someone You Loved","Lewis Capaldi",2927846,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"Lose You To Love Me","Selena Gomez",2879684,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
10,Señorita,"Shawn Mendes",2734876,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,"HIGHEST IN THE ROOM","Travis Scott",2622055,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
12,Vete,"Bad Bunny",2548642,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
13,"hot girl bummer",blackbear,2428407,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
14,Tusa,"KAROL G",2217447,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,"Ride It",Regard,2081933,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
16,Falling,"Trevor Daniel",2036403,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,"bad guy","Billie Eilish",1990913,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,"Watermelon Sugar","Harry Styles",1908622,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
19,"Before You Go","Lewis Capaldi",1888258,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
20,China,"Anuel AA",1881461,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
21,"All I Want for Christmas Is You","Mariah Carey",1815044,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
22,"Lights Up","Harry Styles",1801611,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
23,"Beautiful People (feat. Khalid)","Ed Sheeran",1791136,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
24,"10,000 Hours (with Justin Bieber)","Dan + Shay",1690756,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
25,"How Do You Sleep?","Sam Smith",1588022,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
26,Fantasias,"Rauw Alejandro",1563593,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
27,"Trampoline (with ZAYN)",SHAED,1552780,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
28,"Que Tire Pa Lante","Daddy Yankee",1543807,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
29,"LA CANCIÓN","J Balvin",1529455,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,Lalala,Y2K,1524752,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
31,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1522887,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1512484,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,"I Don't Care (with Justin Bieber)","Ed Sheeran",1491081,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
34,Callaita,"Bad Bunny",1464045,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
35,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1460976,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
36,Liar,"Camila Cabello",1409364,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
