,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6644196,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4501770,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,Dynamite,BTS,4178035,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
4,"Mood (feat. iann dior)",24kGoldn,4092716,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Therefore I Am","Billie Eilish",4086845,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
6,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",3809308,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
7,"Life Goes On",BTS,3773673,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
8,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3490326,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,BICHOTA,"KAROL G",3230383,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
10,"Lonely (with benny blanco)","Justin Bieber",2965819,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,"Blinding Lights","The Weeknd",2964055,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"All I Want for Christmas Is You","Mariah Carey",2879860,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
13,"What You Know Bout Love","Pop Smoke",2795129,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
14,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2714061,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
15,"WAP (feat. Megan Thee Stallion)","Cardi B",2556532,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
16,34+35,"Ariana Grande",2539687,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
