,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6941922,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"All I Want for Christmas Is You","Mariah Carey",5916368,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,4903589,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,ROXANNE,"Arizona Zervas",4664164,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
5,Tusa,"KAROL G",3733520,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,Memories,"Maroon 5",3705233,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"Santa Tell Me","Ariana Grande",3656344,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
8,Circles,"Post Malone",3615881,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,Falling,"Trevor Daniel",3614596,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,"Don't Start Now","Dua Lipa",3558731,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
11,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3349514,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
12,"Blinding Lights","The Weeknd",3254137,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
13,"everything i wanted","Billie Eilish",3232557,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,"Jingle Bell Rock","Bobby Helms",3139193,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
15,"Rockin' Around The Christmas Tree","Brenda Lee",3128554,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
16,Señorita,"Shawn Mendes",3052863,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
