,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",5535926,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"thank u, next","Ariana Grande",4794909,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"Last Christmas",Wham!,4485467,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",3967098,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3746850,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
6,"Santa Tell Me","Ariana Grande",3729267,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
7,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3290129,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
8,"Without Me",Halsey,3223017,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"Rockin' Around The Christmas Tree","Brenda Lee",3051587,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
10,"Jingle Bell Rock","Bobby Helms",2988696,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
11,"MIA (feat. Drake)","Bad Bunny",2967109,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
12,"It's the Most Wonderful Time of the Year","Andy Williams",2892239,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
13,"Do They Know It's Christmas? - 1984 Version","Band Aid",2875339,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
14,"SICKO MODE","Travis Scott",2807838,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
15,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",2655169,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
16,"Adan y Eva","Paulo Londra",2599536,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
17,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2595640,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
18,"Sweet but Psycho","Ava Max",2591894,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
19,Happier,Marshmello,2566921,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
20,Mistletoe,"Justin Bieber",2423045,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
21,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",2383246,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
22,"Going Bad (feat. Drake)","Meek Mill",2370447,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
