,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6352040,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"All I Want for Christmas Is You","Mariah Carey",5174975,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,ROXANNE,"Arizona Zervas",4363235,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,"Last Christmas",Wham!,4252204,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,Memories,"Maroon 5",3413095,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Falling,"Trevor Daniel",3338789,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,Tusa,"KAROL G",3318430,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
8,Circles,"Post Malone",3307578,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"Don't Start Now","Dua Lipa",3168735,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,"Santa Tell Me","Ariana Grande",3093830,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
11,"everything i wanted","Billie Eilish",2965578,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2935080,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
13,"Blinding Lights","The Weeknd",2908275,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
14,Señorita,"Shawn Mendes",2837741,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",2791160,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"Jingle Bell Rock","Bobby Helms",2729183,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
17,"Rockin' Around The Christmas Tree","Brenda Lee",2694836,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
18,"Someone You Loved","Lewis Capaldi",2673354,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"Adore You","Harry Styles",2595278,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
20,"It's the Most Wonderful Time of the Year","Andy Williams",2546713,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
21,"bad guy","Billie Eilish",2427236,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",2330868,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
23,Mistletoe,"Justin Bieber",2302717,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
24,"Do They Know It's Christmas? - 1984 Version","Band Aid",2229026,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
25,"Feliz Navidad","José Feliciano",2182171,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
26,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2161494,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
27,"Holly Jolly Christmas","Michael Bublé",2130553,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
