,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6059820,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4342396,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Memories,"Maroon 5",3966033,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,"everything i wanted","Billie Eilish",3859414,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
5,Heartless,"The Weeknd",3824599,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
6,Circles,"Post Malone",3660986,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,"Don't Start Now","Dua Lipa",3588820,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Blinding Lights","The Weeknd",3497573,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,"All I Want for Christmas Is You","Mariah Carey",3137734,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,"RITMO (Bad Boys For Life)","Black Eyed Peas",3094434,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
11,"Someone You Loved","Lewis Capaldi",3028836,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Lose You To Love Me","Selena Gomez",2983960,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
13,Tusa,"KAROL G",2967174,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,Falling,"Trevor Daniel",2890449,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,Señorita,"Shawn Mendes",2818878,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
16,"HIGHEST IN THE ROOM","Travis Scott",2578399,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,Vete,"Bad Bunny",2567989,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
18,"hot girl bummer",blackbear,2525760,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Last Christmas",Wham!,2451320,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"Ride It",Regard,2218594,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,"bad guy","Billie Eilish",2190972,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Santa Tell Me","Ariana Grande",2046433,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,"Before You Go","Lewis Capaldi",1968671,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,"Watermelon Sugar","Harry Styles",1875396,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
25,"Beautiful People (feat. Khalid)","Ed Sheeran",1864335,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,China,"Anuel AA",1837938,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
27,"10,000 Hours (with Justin Bieber)","Dan + Shay",1761922,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
28,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1725001,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
29,"How Do You Sleep?","Sam Smith",1702716,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
30,Fantasias,"Rauw Alejandro",1654346,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
31,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1634820,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
32,"I Don't Care (with Justin Bieber)","Ed Sheeran",1596678,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
33,BOP,DaBaby,1589698,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1582057,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,"Rockin' Around The Christmas Tree","Brenda Lee",1560915,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
36,Mistletoe,"Justin Bieber",1558182,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
37,"Lights Up","Harry Styles",1550010,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
38,"LA CANCIÓN","J Balvin",1547647,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
39,"Jingle Bell Rock","Bobby Helms",1525889,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
40,"Trampoline (with ZAYN)",SHAED,1524812,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
41,"Lose Control",MEDUZA,1523689,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
42,Lalala,Y2K,1482392,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
43,"It's the Most Wonderful Time of the Year","Andy Williams",1454351,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
44,"Goodbyes (Feat. Young Thug)","Post Malone",1444319,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
45,Liar,"Camila Cabello",1433725,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
46,Callaita,"Bad Bunny",1420391,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
47,"Adicto (with Anuel AA & Ozuna)",Tainy,1402964,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
48,"Que Tire Pa Lante","Daddy Yankee",1377752,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
49,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1366333,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
50,"No Me Conoce - Remix","Jhay Cortez",1349548,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
51,"Whine Up","Nicky Jam",1313291,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
52,"Look At Her Now","Selena Gomez",1272888,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
53,"Do They Know It's Christmas? - 1984 Version","Band Aid",1272231,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
