,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6123100,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,"everything i wanted","Billie Eilish",4844345,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
3,ROXANNE,"Arizona Zervas",4322571,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,Memories,"Maroon 5",4265914,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Circles,"Post Malone",4002533,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"Lose You To Love Me","Selena Gomez",3677295,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
7,"Don't Start Now","Dua Lipa",3634320,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Someone You Loved","Lewis Capaldi",3297608,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",3236133,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,"HIGHEST IN THE ROOM","Travis Scott",3163387,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
11,Señorita,"Shawn Mendes",3076985,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
12,"hot girl bummer",blackbear,2845369,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
13,"Ride It",Regard,2392122,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
14,"Lights Up","Harry Styles",2352512,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
15,"bad guy","Billie Eilish",2287248,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
16,"Watermelon Sugar","Harry Styles",2191126,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
17,"Beautiful People (feat. Khalid)","Ed Sheeran",2126171,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
18,China,"Anuel AA",2037696,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
