,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6679022,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4663681,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"All I Want for Christmas Is You","Mariah Carey",4183231,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,Circles,"Post Malone",3824375,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3782449,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Falling,"Trevor Daniel",3572349,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",3558975,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Tusa,"KAROL G",3402478,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,"Last Christmas",Wham!,3354360,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
10,"Blinding Lights","The Weeknd",3298200,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
11,"everything i wanted","Billie Eilish",3214978,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,"Adore You","Harry Styles",3198112,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
13,Señorita,"Shawn Mendes",3178435,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
14,"Someone You Loved","Lewis Capaldi",3063278,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",2943943,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"Watermelon Sugar","Harry Styles",2686609,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Lucid Dreams","Juice WRLD",2583354,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
18,"Santa Tell Me","Ariana Grande",2570093,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
19,"HIGHEST IN THE ROOM","Travis Scott",2496148,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
20,"Lose You To Love Me","Selena Gomez",2435267,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,"bad guy","Billie Eilish",2413588,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Futsal Shuffle 2020","Lil Uzi Vert",2338709,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
23,Vete,"Bad Bunny",2338376,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
24,"hot girl bummer",blackbear,2313662,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
25,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2208345,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
26,Heartless,"The Weeknd",2190208,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
27,"My Oh My (feat. DaBaby)","Camila Cabello",2158067,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
28,"Rockin' Around The Christmas Tree","Brenda Lee",2134995,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
29,"Ride It",Regard,2116016,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
30,"Jingle Bell Rock","Bobby Helms",2100626,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
31,"The Box","Roddy Ricch",1995868,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
32,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1995579,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
33,"It's the Most Wonderful Time of the Year","Andy Williams",1954952,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1942023,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,Mistletoe,"Justin Bieber",1916258,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
36,"Lights Up","Harry Styles",1902084,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
37,"Beautiful People (feat. Khalid)","Ed Sheeran",1858332,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
38,China,"Anuel AA",1856834,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
39,BOP,DaBaby,1836250,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
40,"I Don't Care (with Justin Bieber)","Ed Sheeran",1801868,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
41,"Before You Go","Lewis Capaldi",1759469,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,Fantasias,"Rauw Alejandro",1716679,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
43,"Do They Know It's Christmas? - 1984 Version","Band Aid",1692178,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
44,"Holly Jolly Christmas","Michael Bublé",1685977,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
45,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1645783,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
46,Falling,"Harry Styles",1624459,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
47,"How Do You Sleep?","Sam Smith",1621762,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
48,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1573552,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
49,"LA CANCIÓN","J Balvin",1570923,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
50,"Feliz Navidad","José Feliciano",1569217,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
51,"No Idea","Don Toliver",1561926,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
52,"7 rings","Ariana Grande",1542262,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
53,"Underneath the Tree","Kelly Clarkson",1532634,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
54,"10,000 Hours (with Justin Bieber)","Dan + Shay",1532004,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
