,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5915921,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4295183,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Heartless,"The Weeknd",3969289,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
4,Memories,"Maroon 5",3914221,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"everything i wanted","Billie Eilish",3838018,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
6,Circles,"Post Malone",3616261,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,"Blinding Lights","The Weeknd",3571943,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,"Don't Start Now","Dua Lipa",3505056,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"All I Want for Christmas Is You","Mariah Carey",3194190,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,"RITMO (Bad Boys For Life)","Black Eyed Peas",3031443,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
11,"Someone You Loved","Lewis Capaldi",2960442,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,"Lose You To Love Me","Selena Gomez",2946615,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
13,Tusa,"KAROL G",2816637,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
14,Falling,"Trevor Daniel",2806980,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
15,Señorita,"Shawn Mendes",2745261,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
16,"HIGHEST IN THE ROOM","Travis Scott",2582165,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
17,Vete,"Bad Bunny",2527839,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
18,"hot girl bummer",blackbear,2503541,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Last Christmas",Wham!,2497523,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"Ride It",Regard,2177358,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,"bad guy","Billie Eilish",2122504,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Santa Tell Me","Ariana Grande",2059702,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,"Before You Go","Lewis Capaldi",1958665,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
24,"Beautiful People (feat. Khalid)","Ed Sheeran",1823733,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
25,"Watermelon Sugar","Harry Styles",1821837,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
26,China,"Anuel AA",1785090,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
27,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1780117,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
28,"10,000 Hours (with Justin Bieber)","Dan + Shay",1753684,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
29,"How Do You Sleep?","Sam Smith",1668744,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
30,"Rockin' Around The Christmas Tree","Brenda Lee",1609651,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
31,Fantasias,"Rauw Alejandro",1605435,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
32,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1596999,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
33,"Jingle Bell Rock","Bobby Helms",1573624,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
34,"Lights Up","Harry Styles",1549779,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
35,"I Don't Care (with Justin Bieber)","Ed Sheeran",1545838,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
36,Mistletoe,"Justin Bieber",1543012,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
37,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1537844,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
38,BOP,DaBaby,1518869,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
39,"Trampoline (with ZAYN)",SHAED,1512273,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
40,"LA CANCIÓN","J Balvin",1506642,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
41,"Lose Control",MEDUZA,1501147,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
42,"It's the Most Wonderful Time of the Year","Andy Williams",1500260,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
43,Lalala,Y2K,1466939,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
44,"Goodbyes (Feat. Young Thug)","Post Malone",1429368,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
45,Liar,"Camila Cabello",1417064,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
46,Callaita,"Bad Bunny",1381588,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
47,"Adicto (with Anuel AA & Ozuna)",Tainy,1372303,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
48,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1345673,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
