,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,Shallow,"Lady Gaga",1139682,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
55,"Yo x Ti, Tu x Mi",ROSALÍA,1137634,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
56,"All I Want for Christmas Is You","Mariah Carey",1116397,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
57,"Old Town Road - Remix","Lil Nas X",1105138,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
58,"223's (feat. 9lokknine)","YNW Melly",1100484,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
59,Quizas,"Rich Music LTD",1088534,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
60,"lovely (with Khalid)","Billie Eilish",1085080,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
61,"Nice To Meet Ya","Niall Horan",1081324,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
62,Indeciso,Reik,1073008,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
63,BOP,DaBaby,1067305,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
64,Tutu,Camilo,1061145,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
65,"when the party's over","Billie Eilish",1046173,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
66,"blun7 a swishland","tha Supreme",1044168,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
67,Bruises,"Lewis Capaldi",1033898,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
68,"Truth Hurts",Lizzo,1017120,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
69,"7 rings","Ariana Grande",1004150,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
70,"No Guidance (feat. Drake)","Chris Brown",984713,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
71,Candy,"Doja Cat",979319,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
72,"Money In The Grave (Drake ft. Rick Ross)",Drake,977087,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
73,Woah,"Lil Baby",964864,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
74,"Good Thing (with Kehlani)",Zedd,959893,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
75,"Tongue Tied (with YUNGBLUD & blackbear)",Marshmello,959562,https://open.spotify.com/track/7jzldCBnJjpJM3epzJ85KE
76,Panini,"Lil Nas X",956180,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
77,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,948155,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw
78,Happier,Marshmello,942845,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
79,"Higher Love",Kygo,940456,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
80,"Jerry Sprunger (with T-Pain)","Tory Lanez",940124,https://open.spotify.com/track/6JsHgIkMYHcbNtKfsal2Mg
81,"Takeaway (feat. Lennon Stella)","The Chainsmokers",933404,https://open.spotify.com/track/63VyEdzMM3w4ZQ1WtARa2S
82,"Piece Of Your Heart",MEDUZA,932344,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
83,"Soltera - Remix",Lunay,931614,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
84,"Hate Me (with Juice WRLD)","Ellie Goulding",929399,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
85,"Used To Love (with Dean Lewis)","Martin Garrix",913562,https://open.spotify.com/track/7pWK1kMgHy5lNNiIfuRbkP
86,Trigger,"Major Lazer",911167,https://open.spotify.com/track/0Z26mbSHJ1dkUu7g9DDgif
87,Camelot,"NLE Choppa",906071,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
88,"Reply (feat. Lil Uzi Vert)","A Boogie Wit da Hoodie",905856,https://open.spotify.com/track/364spZLB5bhNlnPrzvUB41
89,"Bohemian Rhapsody - Remastered 2011",Queen,892008,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
90,Sucker,"Jonas Brothers",878567,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
