,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",7032353,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4635496,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Tusa,"KAROL G",4117114,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,Memories,"Maroon 5",3777595,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Falling,"Trevor Daniel",3673589,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,"Don't Start Now","Dua Lipa",3673293,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Circles,"Post Malone",3595116,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Blinding Lights","The Weeknd",3487070,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,"everything i wanted","Billie Eilish",3195625,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,Señorita,"Shawn Mendes",3170856,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,"RITMO (Bad Boys For Life)","Black Eyed Peas",2950082,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"Someone You Loved","Lewis Capaldi",2926156,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"The Box","Roddy Ricch",2739234,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
14,"bad guy","Billie Eilish",2636574,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"Adore You","Harry Styles",2588147,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
16,"My Oh My (feat. DaBaby)","Camila Cabello",2381640,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
17,"Lose You To Love Me","Selena Gomez",2350006,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
18,"hot girl bummer",blackbear,2230283,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,Vete,"Bad Bunny",2189393,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
20,"Watermelon Sugar","Harry Styles",2144110,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,"Ride It",Regard,2136047,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
22,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",2055751,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
23,"HIGHEST IN THE ROOM","Travis Scott",1934266,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
24,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1876957,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
25,Heartless,"The Weeknd",1851478,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
26,"Beautiful People (feat. Khalid)","Ed Sheeran",1850979,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
27,BOP,DaBaby,1838073,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
