,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",5961373,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4194408,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"All I Want for Christmas Is You","Mariah Carey",3972040,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,Circles,"Post Malone",3459425,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,Memories,"Maroon 5",3441585,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,"Last Christmas",Wham!,3290431,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
7,"Adore You","Harry Styles",3229047,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
8,Falling,"Trevor Daniel",3111809,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
9,"Don't Start Now","Dua Lipa",3028373,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,Señorita,"Shawn Mendes",2959966,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,Tusa,"KAROL G",2921164,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
12,"everything i wanted","Billie Eilish",2836005,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
13,"Watermelon Sugar","Harry Styles",2788818,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
14,"Lucid Dreams","Juice WRLD",2773619,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
15,"Someone You Loved","Lewis Capaldi",2768796,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"Blinding Lights","The Weeknd",2730900,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
17,"RITMO (Bad Boys For Life)","Black Eyed Peas",2727038,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
18,"Santa Tell Me","Ariana Grande",2490312,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
19,"Futsal Shuffle 2020","Lil Uzi Vert",2478857,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
20,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2267615,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
21,"Lose You To Love Me","Selena Gomez",2150726,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
22,"bad guy","Billie Eilish",2142454,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,"Jingle Bell Rock","Bobby Helms",2133700,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
24,"HIGHEST IN THE ROOM","Travis Scott",2112889,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
