,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",5763343,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2,"Mood (feat. iann dior)",24kGoldn,4925358,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4154256,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,Dynamite,BTS,3496437,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"What You Know Bout Love","Pop Smoke",3457302,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,"WAP (feat. Megan Thee Stallion)","Cardi B",3354363,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
7,Hawái,Maluma,3112313,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,"Blinding Lights","The Weeknd",3077153,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Holy (feat. Chance The Rapper)","Justin Bieber",2983401,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
10,"Lonely (with benny blanco)","Justin Bieber",2971082,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
11,"Watermelon Sugar","Harry Styles",2860197,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2821966,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"you broke me first","Tate McRae",2656166,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,"Head & Heart (feat. MNEK)","Joel Corry",2587822,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,"Put Your Records On","Ritt Momney",2243210,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2235463,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2210243,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,Heather,"Conan Gray",2176352,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
19,Wonder,"Shawn Mendes",2138670,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
20,"Relación - Remix",Sech,2133027,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1950340,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,"Someone You Loved","Lewis Capaldi",1898411,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"La Tóxica",Farruko,1838635,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
24,"Vida de Rico",Camilo,1836974,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
25,"Dreams - 2004 Remaster","Fleetwood Mac",1821428,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
26,"Roses - Imanbek Remix","SAINt JHN",1814736,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
27,"Take You Dancing","Jason Derulo",1766682,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
28,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1751477,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
29,"Before You Go","Lewis Capaldi",1740309,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
30,"Forever After All","Luke Combs",1739856,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
31,"La Curiosidad","Jay Wheeler",1734731,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
32,"Ice Cream (with Selena Gomez)",BLACKPINK,1733878,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
33,"Breaking Me",Topic,1706641,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
34,"Se Te Nota (with Guaynaa)","Lele Pons",1697898,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
35,"Lovesick Girls",BLACKPINK,1695705,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
36,"Midnight Sky","Miley Cyrus",1681164,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
37,"POPSTAR (feat. Drake)","DJ Khaled",1611760,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
38,"Dance Monkey","Tones And I",1584932,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"Una Locura",Ozuna,1561399,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
40,"Ay, DiOs Mío!","KAROL G",1547305,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
41,Despeinada,Ozuna,1519114,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
42,"Come & Go (with Marshmello)","Juice WRLD",1506817,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
43,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1503384,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
44,Daisy,Ashnikko,1502291,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
45,Jeans,"Justin Quiles",1496619,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
46,"La Nota","Manuel Turizo",1445496,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
47,"How You Like That",BLACKPINK,1434390,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
48,"Levitating (feat. DaBaby)","Dua Lipa",1404008,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
49,"Tattoo - Remix with Camilo","Rauw Alejandro",1387293,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
50,"Parce (feat. Justin Quiles)",Maluma,1355523,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
51,"La Jeepeta - Remix","Nio Garcia",1351860,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
52,Sofia,Clairo,1348202,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
53,"death bed (coffee for your head)",Powfu,1327399,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
54,"Don't Start Now","Dua Lipa",1316429,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,"Adore You","Harry Styles",1292159,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
56,"Spicy (feat. Post Malone)","Ty Dolla $ign",1278867,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
57,"Rain On Me (with Ariana Grande)","Lady Gaga",1267947,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
58,"Wishing Well","Juice WRLD",1239490,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
59,"Tyler Herro","Jack Harlow",1238636,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
60,"Mi Cuarto","Jerry Di",1230290,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
61,"Mi Niña",Wisin,1226124,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
62,"my ex's best friend (with blackbear)","Machine Gun Kelly",1224080,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
63,"Blueberry Faygo","Lil Mosey",1223386,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
64,Circles,"Post Malone",1215252,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
65,"Go Crazy","Chris Brown",1213932,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
66,Golden,"Harry Styles",1177208,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
67,"Stuck with U (with Justin Bieber)","Ariana Grande",1167889,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
68,"I CAN'T STOP ME",TWICE,1147156,https://open.spotify.com/track/37ZtpRBkHcaq6hHy0X98zn
69,"Deep End",Fousheé,1143232,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
70,"Train Wreck","James Arthur",1142735,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
71,Memories,"Maroon 5",1137347,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
72,"Lucid Dreams","Juice WRLD",1129635,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
73,"SO DONE","The Kid LAROI",1128462,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
