,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6297336,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4230729,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Tusa,"KAROL G",3654941,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,Memories,"Maroon 5",3319118,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Circles,"Post Malone",3264014,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,Falling,"Trevor Daniel",3253100,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",3035259,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Blinding Lights","The Weeknd",2815611,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,Señorita,"Shawn Mendes",2805714,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"everything i wanted","Billie Eilish",2788643,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,"All I Want for Christmas Is You","Mariah Carey",2700576,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,"RITMO (Bad Boys For Life)","Black Eyed Peas",2648723,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
13,"Someone You Loved","Lewis Capaldi",2604222,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Adore You","Harry Styles",2346018,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
15,"bad guy","Billie Eilish",2301391,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
16,"The Box","Roddy Ricch",2258712,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
17,"Last Christmas",Wham!,2233517,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
18,"HIGHEST IN THE ROOM","Travis Scott",2029958,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
19,Vete,"Bad Bunny",2023193,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
20,"Lose You To Love Me","Selena Gomez",2008893,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,"My Oh My (feat. DaBaby)","Camila Cabello",1985685,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
22,"hot girl bummer",blackbear,1929056,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
