,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7281637,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,positions,"Ariana Grande",4855790,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,3983166,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3841005,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
5,"Lonely (with benny blanco)","Justin Bieber",3410374,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
6,"What You Know Bout Love","Pop Smoke",3216964,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3130590,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"WAP (feat. Megan Thee Stallion)","Cardi B",2779614,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
9,Hawái,Maluma,2763540,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
10,"Blinding Lights","The Weeknd",2733467,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Holy (feat. Chance The Rapper)","Justin Bieber",2644742,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2500682,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"you broke me first","Tate McRae",2477066,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,"Watermelon Sugar","Harry Styles",2467037,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,34+35,"Ariana Grande",2454034,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
16,"Head & Heart (feat. MNEK)","Joel Corry",2303654,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,"Hawái - Remix",Maluma,2112035,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
18,"Relación - Remix",Sech,2094501,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
19,"Put Your Records On","Ritt Momney",2074280,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
20,Heather,"Conan Gray",1978770,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
21,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1931483,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
22,"La Nota","Manuel Turizo",1880689,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
23,Wonder,"Shawn Mendes",1854869,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
24,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1850050,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
25,"Someone You Loved","Lewis Capaldi",1845770,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"Se Te Nota (with Guaynaa)","Lele Pons",1824062,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
27,"Levitating (feat. DaBaby)","Dua Lipa",1821029,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,"La Tóxica",Farruko,1775138,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
29,"Vida de Rico",Camilo,1757982,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
30,pov,"Ariana Grande",1698287,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
31,"Before You Go","Lewis Capaldi",1668997,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,"Take You Dancing","Jason Derulo",1659599,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
33,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1654199,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
34,"La Curiosidad","Jay Wheeler",1648962,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
35,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1641516,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
36,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,1637419,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
37,"Una Locura",Ozuna,1584126,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
38,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",1576862,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
39,Jeans,"Justin Quiles",1571775,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
40,"SO DONE","The Kid LAROI",1563297,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
41,"Roses - Imanbek Remix","SAINt JHN",1562438,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
42,"Midnight Sky","Miley Cyrus",1556580,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
43,"motive (with Doja Cat)","Ariana Grande",1548289,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
44,"Mi Niña",Wisin,1547171,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
45,"Parce (feat. Justin Quiles)",Maluma,1540685,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
46,"Dance Monkey","Tones And I",1499747,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
47,"Breaking Me",Topic,1472562,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
48,Despeinada,Ozuna,1445127,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
49,"Ay, DiOs Mío!","KAROL G",1442823,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
50,Golden,"Harry Styles",1441991,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
51,Sofia,Clairo,1436589,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
52,BICHOTA,"KAROL G",1423571,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
53,"Dreams - 2004 Remaster","Fleetwood Mac",1418844,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
54,"Ice Cream (with Selena Gomez)",BLACKPINK,1415668,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
55,"Come & Go (with Marshmello)","Juice WRLD",1375657,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
56,Daisy,Ashnikko,1334702,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
57,"Chica Ideal","Sebastian Yatra",1323033,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
58,"Lovesick Girls",BLACKPINK,1290514,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
59,"Tattoo - Remix with Camilo","Rauw Alejandro",1268986,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
60,"POPSTAR (feat. Drake)","DJ Khaled",1248259,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
61,"Tyler Herro","Jack Harlow",1237943,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
62,"Don't Start Now","Dua Lipa",1237673,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
63,"Train Wreck","James Arthur",1231733,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
64,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1225628,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
65,"death bed (coffee for your head)",Powfu,1220003,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
66,"How You Like That",BLACKPINK,1211454,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
67,"lovely (with Khalid)","Billie Eilish",1209828,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,Diamonds,"Sam Smith",1209388,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
69,"Deep End",Fousheé,1200322,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
70,Fever,"Dua Lipa",1191499,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
71,"I CAN'T STOP ME",TWICE,1173124,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
72,"Stuck with U (with Justin Bieber)","Ariana Grande",1166287,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
73,"La Luz",Sech,1154623,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
74,Circles,"Post Malone",1149608,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
75,"Mi Cuarto","Jerry Di",1145392,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
76,"La Jeepeta - Remix","Nio Garcia",1139823,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
77,"Wishing Well","Juice WRLD",1138793,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
78,"Blueberry Faygo","Lil Mosey",1135491,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
79,"Adore You","Harry Styles",1117414,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
80,"Rain On Me (with Ariana Grande)","Lady Gaga",1102452,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
81,Memories,"Maroon 5",1099048,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
82,"Lucid Dreams","Juice WRLD",1093423,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
83,"my ex's best friend (with blackbear)","Machine Gun Kelly",1085039,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
84,MORE,K/DA,1069567,https://open.spotify.com/track/6juLaduD4STCUDWT0AYun4
