,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",5418343,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2,"Mood (feat. iann dior)",24kGoldn,5030083,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4197697,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,Dynamite,BTS,3555668,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
5,"What You Know Bout Love","Pop Smoke",3475454,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,"WAP (feat. Megan Thee Stallion)","Cardi B",3412237,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
7,Hawái,Maluma,3127061,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,"Blinding Lights","The Weeknd",3123134,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Lonely (with benny blanco)","Justin Bieber",3122632,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
10,"Holy (feat. Chance The Rapper)","Justin Bieber",3007821,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
11,"Watermelon Sugar","Harry Styles",2970339,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2903166,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
13,"you broke me first","Tate McRae",2637666,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,"Head & Heart (feat. MNEK)","Joel Corry",2616200,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,"Put Your Records On","Ritt Momney",2316344,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2282173,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2271058,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
18,Heather,"Conan Gray",2183463,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
19,"Relación - Remix",Sech,2171161,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,Wonder,"Shawn Mendes",2145950,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1976014,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,"Someone You Loved","Lewis Capaldi",1967300,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"Roses - Imanbek Remix","SAINt JHN",1892875,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
24,"Vida de Rico",Camilo,1878499,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
25,"La Tóxica",Farruko,1875707,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
26,"Take You Dancing","Jason Derulo",1820086,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
27,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1815715,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
28,"Dreams - 2004 Remaster","Fleetwood Mac",1794996,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
29,"Ice Cream (with Selena Gomez)",BLACKPINK,1786036,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
30,"Before You Go","Lewis Capaldi",1778909,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"La Curiosidad","Jay Wheeler",1748389,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
32,"Se Te Nota (with Guaynaa)","Lele Pons",1740198,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
33,"Breaking Me",Topic,1730420,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
34,"Midnight Sky","Miley Cyrus",1729945,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
35,"Lovesick Girls",BLACKPINK,1710358,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
36,"POPSTAR (feat. Drake)","DJ Khaled",1674645,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
37,"Dance Monkey","Tones And I",1648682,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
38,"Una Locura",Ozuna,1599653,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
39,"Ay, DiOs Mío!","KAROL G",1586444,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
40,"Levitating (feat. DaBaby)","Dua Lipa",1585134,https://open.spotify.com/track/6OqrJqDMu15AGJHJazg9Nr
41,Jeans,"Justin Quiles",1564273,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
42,Despeinada,Ozuna,1550175,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
43,"Come & Go (with Marshmello)","Juice WRLD",1548664,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
44,Daisy,Ashnikko,1543731,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
45,Golden,"Harry Styles",1531501,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
46,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1517382,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
47,"Forever After All","Luke Combs",1509189,https://open.spotify.com/track/6IBcOGPsniK3Pso1wHIhew
48,"La Nota","Manuel Turizo",1505003,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
49,"I CAN'T STOP ME",TWICE,1482508,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
50,"How You Like That",BLACKPINK,1480000,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
51,Sofia,Clairo,1417245,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
52,"Bottiglie Privè","Sfera Ebbasta",1398364,https://open.spotify.com/track/3E2KP5AWn6Wx0NcPstzKeo
53,"Parce (feat. Justin Quiles)",Maluma,1384168,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
54,"Don't Start Now","Dua Lipa",1365442,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
55,"Tattoo - Remix with Camilo","Rauw Alejandro",1359491,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
56,"death bed (coffee for your head)",Powfu,1341792,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
57,"La Jeepeta - Remix","Nio Garcia",1325090,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
58,"Rain On Me (with Ariana Grande)","Lady Gaga",1307950,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
59,"Adore You","Harry Styles",1303319,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
60,"Tyler Herro","Jack Harlow",1303027,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
61,"Mi Niña",Wisin,1274144,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
62,"Mi Cuarto","Jerry Di",1260608,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
63,Circles,"Post Malone",1257723,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
64,"Wishing Well","Juice WRLD",1253011,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
65,"Go Crazy","Chris Brown",1247823,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
66,"my ex's best friend (with blackbear)","Machine Gun Kelly",1247288,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
67,"Blueberry Faygo","Lil Mosey",1235482,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
68,"Stuck with U (with Justin Bieber)","Ariana Grande",1221835,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
69,"Train Wreck","James Arthur",1203860,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
70,"Deep End",Fousheé,1175834,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
71,Memories,"Maroon 5",1175710,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
72,"Spicy (feat. Post Malone)","Ty Dolla $ign",1174192,https://open.spotify.com/track/5IUtvfNvOyVYZUa6AJFrnP
73,"SO DONE","The Kid LAROI",1166641,https://open.spotify.com/track/5psEZhQu6lukjhavJo4AbC
74,"Lucid Dreams","Juice WRLD",1152412,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
75,goosebumps,"Travis Scott",1151668,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
76,Señorita,"Shawn Mendes",1133796,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
77,"The Box","Roddy Ricch",1114742,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
78,Caramelo,Ozuna,1114586,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
79,"Mad at Disney","salem ilese",1106661,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
80,"lovely (with Khalid)","Billie Eilish",1076265,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
81,"Pretty Savage",BLACKPINK,1074849,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
82,"Tick Tock (feat. 24kGoldn)","Clean Bandit",1074439,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
