,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",7616381,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,Dynamite,BTS,5379661,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
3,"Life Goes On",BTS,5259988,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
4,positions,"Ariana Grande",4823422,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"Mood (feat. iann dior)",24kGoldn,4640463,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"Therefore I Am","Billie Eilish",4523260,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
7,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",4402737,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
8,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3751914,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
9,BICHOTA,"KAROL G",3229026,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
10,"Prisoner (feat. Dua Lipa)","Miley Cyrus",3192919,https://open.spotify.com/track/5JqZ3oqF00jkT81foAFvqg
11,"What You Know Bout Love","Pop Smoke",3107255,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
12,"Lonely (with benny blanco)","Justin Bieber",3103152,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
13,"Blinding Lights","The Weeknd",2966669,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"Fly To My Room",BTS,2920860,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
15,"Blue & Grey",BTS,2878564,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
16,"WAP (feat. Megan Thee Stallion)","Cardi B",2853116,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
17,Hawái,Maluma,2810704,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
18,Telepathy,BTS,2665711,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
19,"All I Want for Christmas Is You","Mariah Carey",2587920,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
20,"Watermelon Sugar","Harry Styles",2560467,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
21,Dis-ease,BTS,2501921,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
22,"Holy (feat. Chance The Rapper)","Justin Bieber",2466731,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
23,Stay,BTS,2464628,https://open.spotify.com/track/3ndCsZfq8OVwwkz9mmZvUz
24,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2441934,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
25,34+35,"Ariana Grande",2429316,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
26,"Head & Heart (feat. MNEK)","Joel Corry",2425929,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
27,"you broke me first","Tate McRae",2362697,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
28,"Relación - Remix",Sech,2275593,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
29,"La Nota","Manuel Turizo",2189272,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
30,"Levitating (feat. DaBaby)","Dua Lipa",2083249,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
31,"La Tóxica",Farruko,2055112,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
32,"Last Christmas",Wham!,2050352,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
33,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2049083,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
34,pov,"Ariana Grande",2046473,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
35,"Hawái - Remix",Maluma,2040093,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
36,"Se Te Nota (with Guaynaa)","Lele Pons",2007583,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
37,"Vida de Rico",Camilo,1983344,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
38,"Chica Ideal","Sebastian Yatra",1949701,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
39,"Put Your Records On","Ritt Momney",1928710,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
40,"Someone You Loved","Lewis Capaldi",1858806,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
41,Heather,"Conan Gray",1853095,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
42,Jeans,"Justin Quiles",1837468,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
43,"La Curiosidad","Jay Wheeler",1825135,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
44,"Mi Niña",Wisin,1807082,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
45,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1791169,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
46,Wonder,"Shawn Mendes",1780328,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
47,"Una Locura",Ozuna,1740816,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
48,"Parce (feat. Justin Quiles)",Maluma,1738430,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
49,"Dance Monkey","Tones And I",1703615,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
50,"Take You Dancing","Jason Derulo",1702387,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
51,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1696328,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
52,"Roses - Imanbek Remix","SAINt JHN",1677518,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
53,"Santa Tell Me","Ariana Grande",1661280,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
54,Whoopty,CJ,1648988,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
55,"Midnight Sky","Miley Cyrus",1605021,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
56,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1602179,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
57,HOLIDAY,"Lil Nas X",1570758,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
58,"Ay, DiOs Mío!","KAROL G",1562872,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
59,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1562249,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
60,"Before You Go","Lewis Capaldi",1519171,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
61,"Breaking Me",Topic,1487299,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
62,Reloj,"Rauw Alejandro",1481368,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
63,"Rockin' Around The Christmas Tree","Brenda Lee",1473036,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
64,"Jingle Bell Rock","Bobby Helms",1449585,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
65,Despeinada,Ozuna,1428630,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
66,Golden,"Harry Styles",1426208,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
67,Skit,BTS,1422159,https://open.spotify.com/track/4GVwjLRT7oSsKby7Vy8EHr
68,Sofia,Clairo,1389548,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
69,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1388835,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
70,"Come & Go (with Marshmello)","Juice WRLD",1369081,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
71,"Dreams - 2004 Remaster","Fleetwood Mac",1361862,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
72,"SO DONE","The Kid LAROI",1356582,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
73,"Don't Start Now","Dua Lipa",1352096,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
74,"Tattoo - Remix with Camilo","Rauw Alejandro",1323080,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
75,"It's the Most Wonderful Time of the Year","Andy Williams",1314759,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
76,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",1293858,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
77,"Paradise (feat. Dermot Kennedy)",MEDUZA,1292231,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
78,"lovely (with Khalid)","Billie Eilish",1263067,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
79,Daisy,Ashnikko,1253460,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
80,"The Business",Tiësto,1238651,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
81,"death bed (coffee for your head)",Powfu,1235837,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
82,"POPSTAR (feat. Drake)","DJ Khaled",1230834,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
83,"Mi Cuarto","Jerry Di",1217414,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
84,"Underneath the Tree","Kelly Clarkson",1215019,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
85,"Wishing Well","Juice WRLD",1212126,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
86,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1212086,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
87,goosebumps,"Travis Scott",1211809,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
88,"La Luz",Sech,1209750,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
89,Circles,"Post Malone",1209325,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
90,"La Jeepeta - Remix","Nio Garcia",1197694,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
91,"Train Wreck","James Arthur",1195937,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
92,"Deep End",Fousheé,1194938,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
93,"Tyler Herro","Jack Harlow",1194672,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
94,"Sweater Weather","The Neighbourhood",1186494,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
95,"Lucid Dreams","Juice WRLD",1178907,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
96,"Somebody’s Problem","Morgan Wallen",1177404,https://open.spotify.com/track/0SErdEdRcVX1uJCf1eTGYH
97,"Baby (with J Balvin)","Sfera Ebbasta",1175867,https://open.spotify.com/track/4L5ZhW0VJeQ6je2iqvqZ4X
98,"Blueberry Faygo","Lil Mosey",1172397,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
99,Memories,"Maroon 5",1169732,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
100,Señorita,"Shawn Mendes",1165480,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
101,"Stuck with U (with Justin Bieber)","Ariana Grande",1134286,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
