,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",7829519,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
2,34+35,"Ariana Grande",6029516,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
3,"Mood (feat. iann dior)",24kGoldn,5361326,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"motive (with Doja Cat)","Ariana Grande",4821156,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4506208,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,"off the table (with The Weeknd)","Ariana Grande",4447198,https://open.spotify.com/track/0K2UmT0JOcEaLssWda2703
7,"shut up","Ariana Grande",4253903,https://open.spotify.com/track/3ko9jEHNt4O5fjKN65ULJp
8,"just like magic","Ariana Grande",3858081,https://open.spotify.com/track/7Dx9Z6Aon1qPS2N0rHSWTe
9,Dakiti,"Bad Bunny",3779263,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
10,"What You Know Bout Love","Pop Smoke",3657535,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
11,Dynamite,BTS,3628695,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
12,"WAP (feat. Megan Thee Stallion)","Cardi B",3575640,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
13,"Blinding Lights","The Weeknd",3440824,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"safety net (feat. Ty Dolla $ign)","Ariana Grande",3432394,https://open.spotify.com/track/14gkWVFMwdxBMyqBw1wmIg
15,Hawái,Maluma,3418848,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
16,nasty,"Ariana Grande",3400086,https://open.spotify.com/track/0sci7ppTZFm4mjcH3nu8yO
17,"six thirty","Ariana Grande",3340506,https://open.spotify.com/track/2IKJtXeR5UsaUjZB46fTOK
18,pov,"Ariana Grande",3334692,https://open.spotify.com/track/1bj8x3ERN9gSc2NfJIpc76
19,"Lonely (with benny blanco)","Justin Bieber",3266246,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
20,"my hair","Ariana Grande",3236886,https://open.spotify.com/track/6u7gmPOz7pzzaeR9xSBpsR
21,"Holy (feat. Chance The Rapper)","Justin Bieber",3151491,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
22,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3135943,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
23,"Watermelon Sugar","Harry Styles",3035720,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
