,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",4410493,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3703577,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
3,Wow.,"Post Malone",3630050,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",3290248,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Without Me",Halsey,3225635,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"MIA (feat. Drake)","Bad Bunny",2796841,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,"SICKO MODE","Travis Scott",2553522,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"Sweet but Psycho","Ava Max",2489495,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,Happier,Marshmello,2443969,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2348704,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
11,"Going Bad (feat. Drake)","Meek Mill",2324582,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
12,"Adan y Eva","Paulo Londra",2312857,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
13,"Calma - Remix","Pedro Capó",2084413,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
14,"Mo Bamba","Sheck Wes",1909539,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
15,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1876071,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
16,imagine,"Ariana Grande",1865921,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
17,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,1861182,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
18,Shallow,"Lady Gaga",1848784,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
19,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",1839916,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
20,"Eastside (with Halsey & Khalid)","benny blanco",1748797,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
21,"Girls Like You (feat. Cardi B)","Maroon 5",1722963,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
22,"High Hopes","Panic! At The Disco",1699502,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
23,"when the party's over","Billie Eilish",1684058,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
24,SAD!,XXXTENTACION,1677378,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Better Now","Post Malone",1669578,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
26,"Lucid Dreams","Juice WRLD",1662846,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
27,"Bohemian Rhapsody - Remastered 2011",Queen,1653324,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
28,Better,Khalid,1579427,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
29,"In My Mind",Dynoro,1508038,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
30,"Be Alright","Dean Lewis",1464911,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
31,monster,"21 Savage",1445656,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
32,Moonlight,XXXTENTACION,1436382,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
33,"Solo de Mi","Bad Bunny",1435080,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
34,"Ella Quiere Beber - Remix","Anuel AA",1415748,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
35,"I Like It","Cardi B",1408046,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
36,"Bad Liar","Imagine Dragons",1407383,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
37,"Leave Me Alone","Flipp Dinero",1405351,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
38,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1398660,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
39,"a lot","21 Savage",1394606,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
40,"rockstar (feat. 21 Savage)","Post Malone",1381211,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
41,"Saturday Nights",Khalid,1378444,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
42,"whoa (mind in awe)",XXXTENTACION,1311282,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
43,"Vaina Loca",Ozuna,1298859,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
44,"Ruin My Life","Zara Larsson",1283326,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU
45,"Wake Up in the Sky","Gucci Mane",1276541,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
46,"Promises (with Sam Smith)","Calvin Harris",1255379,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
47,"God's Plan",Drake,1250070,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
48,Youngblood,"5 Seconds of Summer",1243892,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
49,"Kiss and Make Up","Dua Lipa",1217904,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
50,"Taste (feat. Offset)",Tyga,1214982,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
51,"In My Feelings",Drake,1210176,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
52,lovely,"Billie Eilish",1197063,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
53,Adictiva,"Daddy Yankee",1197010,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
54,BEBE,6ix9ine,1188264,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
55,KIKA,6ix9ine,1159221,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
56,"Love Someone","Lukas Graham",1157584,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
57,BAD!,XXXTENTACION,1150271,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
58,"Look Back at It","A Boogie Wit da Hoodie",1136459,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
59,Money,"Cardi B",1130179,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
60,Natural,"Imagine Dragons",1121602,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
61,"no tears left to cry","Ariana Grande",1117632,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
62,Nonstop,Drake,1108091,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
63,"All I Want for Christmas Is You","Mariah Carey",1105366,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
64,"Jocelyn Flores",XXXTENTACION,1098937,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
65,Imposible,"Luis Fonsi",1084803,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm
66,"Cuando Te Besé","Becky G",1076929,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
67,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",1073410,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
68,"Shape of You","Ed Sheeran",1070627,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
69,"Beautiful (feat. Camila Cabello)",Bazzi,1066871,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
70,Desconocidos,"Mau y Ricky",1065427,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
71,"Happy Now",Kygo,1053765,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
72,"Psycho (feat. Ty Dolla $ign)","Post Malone",1053552,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
73,FEFE,6ix9ine,1029604,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
74,Bubalu,"Becky G",1029270,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
75,"One Kiss (with Dua Lipa)","Calvin Harris",1026355,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
76,2002,Anne-Marie,1013277,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
77,"Let You Love Me","Rita Ora",1003130,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
78,"Solo (feat. Demi Lovato)","Clean Bandit",987372,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h
79,Believer,"Imagine Dragons",976817,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
80,"Another One Bites The Dust - Remastered 2011",Queen,975586,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
81,idontwannabeyouanymore,"Billie Eilish",971895,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
82,Reggaeton,"J Balvin",971011,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
83,"all my friends","21 Savage",969637,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
84,"Te Boté - Remix","Nio Garcia",963631,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
85,MALA,6ix9ine,961446,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
86,IDGAF,"Dua Lipa",952180,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
87,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",945715,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
88,Perfect,"Ed Sheeran",937518,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
89,"Havana (feat. Young Thug)","Camila Cabello",930612,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
90,breathin,"Ariana Grande",925835,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
91,"I Love It (& Lil Pump)","Kanye West",923905,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
92,"Armed And Dangerous","Juice WRLD",916951,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
93,"Body (feat. brando)","Loud Luxury",914478,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
94,"Falling Down - Bonus Track","Lil Peep",913859,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
95,Amanece,"Anuel AA",902479,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
96,"God is a woman","Ariana Grande",893741,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
97,"Don't Stop Me Now - Remastered 2011",Queen,886528,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
98,"I Fall Apart","Post Malone",883426,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
99,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse","Nicki Minaj",876254,https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth
100,"Santa Tell Me","Ariana Grande",875804,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
101,Shotgun,"George Ezra",873908,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
102,"NI BIEN NI MAL","Bad Bunny",872772,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
103,changes,XXXTENTACION,869912,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
104,"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez",869650,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW
105,"No Stylist (feat. Drake)","French Montana",867383,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
106,Rise,"Jonas Blue",863597,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx
107,FRIENDS,Marshmello,861701,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
108,"Ya No Tiene Novio","Sebastian Yatra",860336,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
109,Culpables,"KAROL G",855728,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
110,SOLO,JENNIE,855341,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
111,"TIC TOC",6ix9ine,854246,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
112,"New Rules","Dua Lipa",851597,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O
113,Thunder,"Imagine Dragons",847964,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
114,"The Middle",Zedd,841072,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
115,"I Like Me Better",Lauv,825954,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
116,Benzema,"Capital Bra",825613,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E
117,"Woman Like Me (feat. Nicki Minaj)","Little Mix",799877,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
118,"I'm a Mess","Bebe Rexha",797752,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
119,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,794841,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
120,"Under Pressure - Remastered 2011",Queen,794175,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
121,"This Feeling","The Chainsmokers",789745,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
122,YOSEMITE,"Travis Scott",784976,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
123,"Say You Won't Let Go","James Arthur",783886,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
124,"Somebody To Love - Remastered 2011",Queen,780337,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf
125,"Last Christmas",Wham!,776544,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
126,"Amigos Con Derechos",Reik,772799,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
127,"Too Good At Goodbyes","Sam Smith",764689,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
128,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",755412,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
129,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",751072,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
130,"Say My Name","David Guetta",750152,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
131,"XO Tour Llif3","Lil Uzi Vert",748092,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
132,"Lucky You (feat. Joyner Lucas)",Eminem,741235,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
133,"Electricity (with Dua Lipa)","Silk City",739836,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
134,"Look Alive (feat. Drake)","BlocBoy JB",733279,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
135,Thunderclouds,Sia,723733,https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP
136,"Best Part (feat. Daniel Caesar)",H.E.R.,722385,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
137,Congratulations,"Post Malone",716657,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
138,Closer,"The Chainsmokers",712209,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
139,"Jackie Chan",Tiësto,710919,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
140,"Mala Mía",Maluma,702564,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
141,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",693950,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
142,Caro,"Bad Bunny",689735,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
143,"Nice For What",Drake,687817,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
144,"Love Lies (with Normani)",Khalid,685175,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
145,"In My Blood","Shawn Mendes",682983,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH
146,PPP,"Kevin Roldan",681383,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
147,bellyache,"Billie Eilish",676526,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
148,MAMA,6ix9ine,675321,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
149,"Sin Pijama","Becky G",673251,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
150,"Fire On Fire - From ""Watership Down""","Sam Smith",671223,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
151,"Asesina - Remix",Brytiago,670401,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
152,Noticed,"Lil Mosey",670130,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
153,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",668324,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
154,Splashin,"Rich The Kid",667524,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
155,"Yes Indeed","Lil Baby",664124,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
156,"In My Head","Peter Manos",662093,https://open.spotify.com/track/1tT55K6VEyO6XFDxK4lDQe
157,"Fine China",Future,661877,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
158,"Everybody Dies In Their Nightmares",XXXTENTACION,660059,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
159,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,659566,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
160,"Atrasadinha - Ao Vivo","Felipe Araújo",657288,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb
161,"Always Remember Us This Way","Lady Gaga",654954,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
162,"No Es Justo","J Balvin",651355,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
163,"ocean eyes","Billie Eilish",650203,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
164,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",648226,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
165,Photograph,"Ed Sheeran",644925,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
166,"Thinking out Loud","Ed Sheeran",644160,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
167,HUMBLE.,"Kendrick Lamar",642648,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
168,Mine,Bazzi,636929,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
169,goosebumps,"Travis Scott",634856,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
170,"We Will Rock You - Remastered",Queen,633884,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn
171,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",633545,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
172,"All Girls Are The Same","Juice WRLD",632698,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
173,Créeme,"KAROL G",630633,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
174,"can't leave without it","21 Savage",626604,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
175,Ibiza,Ozuna,626011,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
176,"Ric Flair Drip (& Metro Boomin)",Offset,625599,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
177,Wolves,"Selena Gomez",625415,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
178,"All The Stars (with SZA)","Kendrick Lamar",615173,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
179,Veneno,Anitta,615164,https://open.spotify.com/track/1KFN3kB4hc6r7ILpifFsqf
180,Topanga,"Trippie Redd",614417,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
181,"Rewrite The Stars","Zac Efron",613381,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
182,"Look At Me!",XXXTENTACION,613000,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
183,Africa,TOTO,612161,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
184,"Wonderwall - Remastered",Oasis,610938,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
