,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6649190,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4443059,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Heartless,"The Weeknd",4147266,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
4,Memories,"Maroon 5",4069427,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Circles,"Post Malone",3725779,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,"everything i wanted","Billie Eilish",3701375,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
7,"Don't Start Now","Dua Lipa",3623822,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"RITMO (Bad Boys For Life)","Black Eyed Peas",3495428,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
9,"Blinding Lights","The Weeknd",3491128,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,Señorita,"Shawn Mendes",3112602,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,"All I Want for Christmas Is You","Mariah Carey",3102423,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,"Someone You Loved","Lewis Capaldi",2969138,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"Lose You To Love Me","Selena Gomez",2942366,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
14,Tusa,"KAROL G",2881592,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
15,"HIGHEST IN THE ROOM","Travis Scott",2729388,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
16,Vete,"Bad Bunny",2702041,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
17,Falling,"Trevor Daniel",2592919,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
18,"hot girl bummer",blackbear,2570746,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
19,"Last Christmas",Wham!,2464642,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
20,"Ride It",Regard,2427795,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,"bad guy","Billie Eilish",2325676,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,China,"Anuel AA",2127371,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
23,"Beautiful People (feat. Khalid)","Ed Sheeran",1915618,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
24,"Before You Go","Lewis Capaldi",1896064,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,"Santa Tell Me","Ariana Grande",1882150,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
26,Fantasias,"Rauw Alejandro",1836209,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
27,"10,000 Hours (with Justin Bieber)","Dan + Shay",1723420,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
28,Lalala,Y2K,1721996,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
29,"LA CANCIÓN","J Balvin",1708296,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,"It's Beginning to Look a Lot like Christmas","Michael Bublé",1678484,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
31,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",1677476,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
32,"Watermelon Sugar","Harry Styles",1673132,https://open.spotify.com/track/1e9oZCCiX42nJl0AcqriVo
33,"How Do You Sleep?","Sam Smith",1658743,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
34,"I Don't Care (with Justin Bieber)","Ed Sheeran",1657430,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
35,"Lose Control",MEDUZA,1629275,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
36,"Lights Up","Harry Styles",1625467,https://open.spotify.com/track/5aJEh9Oqdz7PRLKTpH25pB
37,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1620556,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
38,"Adicto (with Anuel AA & Ozuna)",Tainy,1613935,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
39,Callaita,"Bad Bunny",1611520,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
40,"Que Tire Pa Lante","Daddy Yankee",1610025,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
41,"Trampoline (with ZAYN)",SHAED,1574369,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
42,"No Me Conoce - Remix","Jhay Cortez",1528644,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
43,"Rockin' Around The Christmas Tree","Brenda Lee",1522741,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
44,Liar,"Camila Cabello",1500961,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
45,"Jingle Bell Rock","Bobby Helms",1500776,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
46,"Whine Up","Nicky Jam",1496464,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
47,"Goodbyes (Feat. Young Thug)","Post Malone",1470838,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
48,BOP,DaBaby,1451992,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
49,"It's the Most Wonderful Time of the Year","Andy Williams",1431556,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
50,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1430024,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
51,Mistletoe,"Justin Bieber",1371800,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
52,Ransom,"Lil Tecca",1368088,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
53,Aventura,Lunay,1311005,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
54,"Look At Her Now","Selena Gomez",1308839,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
55,"Ayy Macarena",Tyga,1280194,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
56,"Old Town Road - Remix","Lil Nas X",1239034,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
57,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,1233109,https://open.spotify.com/track/07s9NNOT0sZQp7TyolLLgu
58,"Yellow Hearts","Ant Saunders",1230986,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
59,"Do They Know It's Christmas? - 1984 Version","Band Aid",1221874,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
60,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,1218945,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
61,"Si Te Vas",Sech,1212309,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
62,"Mean It",Lauv,1201136,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX
63,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1200354,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
64,Indeciso,Reik,1196999,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
65,Quizas,"Rich Music LTD",1190965,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
66,"Der Bratan bleibt der gleiche","Capital Bra",1189336,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
67,"Holly Jolly Christmas","Michael Bublé",1152952,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
68,"Into the Unknown","Idina Menzel",1151710,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
69,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",1147188,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
70,"Yo x Ti, Tu x Mi",ROSALÍA,1138125,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
71,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",1122273,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
72,"Up All Night",Khalid,1115651,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74
73,"It's You","Ali Gatie",1111636,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
74,Shallow,"Lady Gaga",1104461,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
75,Fantasía,Ozuna,1094078,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
76,"LOYAL (feat. Drake)",PARTYNEXTDOOR,1085445,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS
77,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1084679,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
78,"Feliz Navidad","José Feliciano",1083783,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
79,"Hola - Remix",Dalex,1083716,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
80,Tutu,Camilo,1083385,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
81,"lovely (with Khalid)","Billie Eilish",1062447,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
82,"Underneath the Tree","Kelly Clarkson",1034799,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
83,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",1028698,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
84,"7 rings","Ariana Grande",1027274,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
85,"Bohemian Rhapsody - Remastered 2011",Queen,1007045,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
86,Happier,Marshmello,997570,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
87,"223's (feat. 9lokknine)","YNW Melly",996887,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
88,"Soltera - Remix",Lunay,992538,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
89,"Truth Hurts",Lizzo,987531,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
90,"Piece Of Your Heart",MEDUZA,984184,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
91,Graveyard,Halsey,982129,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
92,"when the party's over","Billie Eilish",981906,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
93,"Money In The Grave (Drake ft. Rick Ross)",Drake,979929,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
94,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",965718,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
95,"Driving Home for Christmas - 2019 Remaster","Chris Rea",963491,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
96,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",956445,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
97,"Combatchy (feat. MC Rebecca)",Anitta,950352,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw
98,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",946477,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
99,"Follow God","Kanye West",946099,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
100,Woah,"Lil Baby",945313,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
101,Believer,"Imagine Dragons",942731,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"White Christmas","Bing Crosby",927579,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
103,"Otro Trago - Remix",Sech,920175,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
104,Panini,"Lil Nas X",917612,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
105,"No Guidance (feat. Drake)","Chris Brown",906583,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
106,"Que Calor (with J Balvin & El Alfa)","Major Lazer",903188,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
107,Roller,"Apache 207",895220,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
108,"Shape of You","Ed Sheeran",891775,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
109,"Nice To Meet Ya","Niall Horan",879127,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
110,"Con Altura",ROSALÍA,878667,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
111,"Hate Me (with Juice WRLD)","Ellie Goulding",875444,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
112,"The Christmas Song (Merry Christmas To You)","Nat King Cole",871681,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
113,"Higher Love",Kygo,871088,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
114,Camelot,"NLE Choppa",870941,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
115,Candy,"Doja Cat",867648,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
