,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6824174,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4673103,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Adore You","Harry Styles",4506154,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
4,Circles,"Post Malone",4036050,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
5,"Watermelon Sugar","Harry Styles",3998818,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
6,Memories,"Maroon 5",3905519,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,"Don't Start Now","Dua Lipa",3730555,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Futsal Shuffle 2020","Lil Uzi Vert",3727152,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
9,"All I Want for Christmas Is You","Mariah Carey",3704340,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,"Lucid Dreams","Juice WRLD",3522483,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
11,Señorita,"Shawn Mendes",3498685,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
12,Falling,"Trevor Daniel",3459280,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,"everything i wanted","Billie Eilish",3328435,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,"Blinding Lights","The Weeknd",3324320,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
15,Tusa,"KAROL G",3300435,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
16,"Someone You Loved","Lewis Capaldi",3243260,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"RITMO (Bad Boys For Life)","Black Eyed Peas",3118688,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
18,Falling,"Harry Styles",3073344,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
19,"Lights Up","Harry Styles",3062438,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
20,"Last Christmas",Wham!,3032454,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
21,Golden,"Harry Styles",2965398,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
22,Cherry,"Harry Styles",2765237,https://open.spotify.com/track/2IOFZdYYkFxEHVz1w34PoL
23,"bad guy","Billie Eilish",2623721,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
24,"HIGHEST IN THE ROOM","Travis Scott",2573752,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
25,"Lose You To Love Me","Selena Gomez",2563366,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
26,Heartless,"The Weeknd",2520233,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
27,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2456871,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
28,"hot girl bummer",blackbear,2443823,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
29,Vete,"Bad Bunny",2437188,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
30,She,"Harry Styles",2378481,https://open.spotify.com/track/6SQLk9HSNketfgs2AyIiMs
31,"Santa Tell Me","Ariana Grande",2359109,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
32,"To Be So Lonely","Harry Styles",2356043,https://open.spotify.com/track/5JiH89mHrv9oWHlD0T326z
33,"Ride It",Regard,2218688,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
34,"Sunflower, Vol. 6","Harry Styles",2201298,https://open.spotify.com/track/6iYMfxznTBlcVOgRHab2W0
35,"Treat People With Kindness","Harry Styles",2152924,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0
36,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2070376,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
37,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2067593,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
38,"Fine Line","Harry Styles",2013433,https://open.spotify.com/track/6VzcQuzTNTMFnJ6rBSaLH9
39,"Beautiful People (feat. Khalid)","Ed Sheeran",1971118,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
40,China,"Anuel AA",1959841,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
41,"Canyon Moon","Harry Styles",1942740,https://open.spotify.com/track/5IhzJOXNE7ki0IIJbZbnGq
42,"Rockin' Around The Christmas Tree","Brenda Lee",1928581,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
43,"Jingle Bell Rock","Bobby Helms",1919874,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
44,"I Don't Care (with Justin Bieber)","Ed Sheeran",1907574,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
45,BOP,DaBaby,1904763,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
