,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dakiti,"Bad Bunny",6832107,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
2,"Therefore I Am","Billie Eilish",5005572,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,positions,"Ariana Grande",4763835,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
4,"Mood (feat. iann dior)",24kGoldn,4270888,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3552837,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
6,"Lonely (with benny blanco)","Justin Bieber",3161890,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
7,Dynamite,BTS,3061720,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"What You Know Bout Love","Pop Smoke",3010329,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,"Blinding Lights","The Weeknd",2713271,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"WAP (feat. Megan Thee Stallion)","Cardi B",2589837,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Holy (feat. Chance The Rapper)","Justin Bieber",2477259,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
12,"you broke me first","Tate McRae",2458893,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
13,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2457876,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
14,"Watermelon Sugar","Harry Styles",2431864,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,Hawái,Maluma,2394550,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
16,"Head & Heart (feat. MNEK)","Joel Corry",2284059,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
17,BICHOTA,"KAROL G",2243083,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
18,34+35,"Ariana Grande",2240451,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,pov,"Ariana Grande",2167383,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
20,"Hawái - Remix",Maluma,2046580,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
21,"Levitating (feat. DaBaby)","Dua Lipa",1991924,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
22,Heather,"Conan Gray",1973473,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
23,"Put Your Records On","Ritt Momney",1953884,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
24,"Relación - Remix",Sech,1913633,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
25,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1892438,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
26,"Someone You Loved","Lewis Capaldi",1874272,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"La Nota","Manuel Turizo",1831493,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
28,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1784478,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
29,Wonder,"Shawn Mendes",1776285,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
30,"Se Te Nota (with Guaynaa)","Lele Pons",1744458,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
31,"La Tóxica",Farruko,1699427,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
32,"Vida de Rico",Camilo,1653021,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
33,"Take You Dancing","Jason Derulo",1652535,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
34,"Before You Go","Lewis Capaldi",1607116,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,"La Curiosidad","Jay Wheeler",1559877,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
36,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1554679,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
37,Jeans,"Justin Quiles",1538441,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
38,"Chica Ideal","Sebastian Yatra",1531596,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
39,"Midnight Sky","Miley Cyrus",1529347,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
40,"Mi Niña",Wisin,1526816,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
41,"All I Want for Christmas Is You","Mariah Carey",1524404,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
42,"Una Locura",Ozuna,1513285,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
43,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1511710,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
44,"Roses - Imanbek Remix","SAINt JHN",1504994,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
45,Sofia,Clairo,1504310,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
46,"Parce (feat. Justin Quiles)",Maluma,1503051,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
47,"Dance Monkey","Tones And I",1489989,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
48,Golden,"Harry Styles",1488734,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
49,"Breaking Me",Topic,1462128,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
50,"SO DONE","The Kid LAROI",1414882,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
51,HOLIDAY,"Lil Nas X",1397330,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
52,Whoopty,CJ,1336117,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
53,"Ay, DiOs Mío!","KAROL G",1330884,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
54,Daisy,Ashnikko,1329383,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
55,"Come & Go (with Marshmello)","Juice WRLD",1320795,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
56,"lovely (with Khalid)","Billie Eilish",1281188,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
57,"Ice Cream (with Selena Gomez)",BLACKPINK,1269408,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
58,"Train Wreck","James Arthur",1250127,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
59,"Dreams - 2004 Remaster","Fleetwood Mac",1240610,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
60,Despeinada,Ozuna,1238689,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
61,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1237687,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
62,"Don't Start Now","Dua Lipa",1235627,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
63,"Deep End",Fousheé,1213549,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
64,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",1200492,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
65,"death bed (coffee for your head)",Powfu,1195376,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
66,"POPSTAR (feat. Drake)","DJ Khaled",1193189,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
67,Reloj,"Rauw Alejandro",1191710,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
68,"Paradise (feat. Dermot Kennedy)",MEDUZA,1157244,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
69,"Last Christmas",Wham!,1155663,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
70,"Tyler Herro","Jack Harlow",1155338,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
71,Circles,"Post Malone",1153137,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
72,"Lovesick Girls",BLACKPINK,1143569,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
73,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1141188,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
74,"Stuck with U (with Justin Bieber)","Ariana Grande",1140979,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
75,"Sweater Weather","The Neighbourhood",1129600,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
76,"How You Like That",BLACKPINK,1125640,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
77,"Adore You","Harry Styles",1122173,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
78,Memories,"Maroon 5",1121966,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
79,"The Business",Tiësto,1111366,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
80,"Tattoo - Remix with Camilo","Rauw Alejandro",1108220,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
81,"Wishing Well","Juice WRLD",1104533,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
82,"Lucid Dreams","Juice WRLD",1098128,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
83,Diamonds,"Sam Smith",1080396,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
84,goosebumps,"Travis Scott",1075954,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
85,"La Luz",Sech,1063286,https://open.spotify.com/track/5zj8WNkBrEzlI5FKeYV4ol
86,"my ex's best friend (with blackbear)","Machine Gun Kelly",1048117,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
87,"Mi Cuarto","Jerry Di",1045894,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
88,"Blueberry Faygo","Lil Mosey",1044071,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
89,"I CAN'T STOP ME",TWICE,1043441,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
90,"bad guy","Billie Eilish",1043435,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
91,Señorita,"Shawn Mendes",1043061,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
92,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",24kGoldn,1023376,https://open.spotify.com/track/6FuGJB290AQMAHTfjOYVaK
93,"Rain On Me (with Ariana Grande)","Lady Gaga",1016374,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
94,"motive (with Doja Cat)","Ariana Grande",1014635,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
95,"The Box","Roddy Ricch",1013111,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
96,"La Jeepeta - Remix","Nio Garcia",1003625,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
97,"Santa Tell Me","Ariana Grande",998459,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
98,"If the World Was Ending - feat. Julia Michaels","JP Saxe",990880,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
99,Fever,"Dua Lipa",984043,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
100,"Go Crazy","Chris Brown",984032,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
