,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",6581324,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4551216,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Circles,"Post Malone",3823622,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
4,"All I Want for Christmas Is You","Mariah Carey",3810948,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
5,Memories,"Maroon 5",3778818,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
6,Falling,"Trevor Daniel",3559984,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
7,"Don't Start Now","Dua Lipa",3540429,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"Blinding Lights","The Weeknd",3278733,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,Tusa,"KAROL G",3269337,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Adore You","Harry Styles",3249515,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
11,"everything i wanted","Billie Eilish",3232974,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,Señorita,"Shawn Mendes",3189124,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"Someone You Loved","Lewis Capaldi",3084230,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Last Christmas",Wham!,3010942,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
15,"RITMO (Bad Boys For Life)","Black Eyed Peas",2862492,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,"Watermelon Sugar","Harry Styles",2753385,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Lucid Dreams","Juice WRLD",2667158,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
18,"HIGHEST IN THE ROOM","Travis Scott",2468895,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
19,"Lose You To Love Me","Selena Gomez",2441821,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
20,"Futsal Shuffle 2020","Lil Uzi Vert",2423517,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
21,"bad guy","Billie Eilish",2407491,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,"Santa Tell Me","Ariana Grande",2377679,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
23,"hot girl bummer",blackbear,2322686,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
24,Vete,"Bad Bunny",2260550,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
25,Heartless,"The Weeknd",2205812,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
26,"My Oh My (feat. DaBaby)","Camila Cabello",2098384,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
27,"Ride It",Regard,2059580,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
28,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2033394,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
29,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",2019643,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
30,"Lights Up","Harry Styles",1986240,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
31,"Rockin' Around The Christmas Tree","Brenda Lee",1954578,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
32,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1935153,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
33,"Jingle Bell Rock","Bobby Helms",1932108,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
