,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",4327612,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,Wow.,"Post Malone",4161781,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
3,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",3868678,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",3494637,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
5,"Without Me",Halsey,3200721,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
6,"MIA (feat. Drake)","Bad Bunny",2954708,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
7,"SICKO MODE","Travis Scott",2641523,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"Sweet but Psycho","Ava Max",2629960,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,Happier,Marshmello,2503024,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,"Adan y Eva","Paulo Londra",2483696,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
11,"Calma - Remix","Pedro Capó",2453011,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
12,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",2435764,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
13,"Going Bad (feat. Drake)","Meek Mill",2338472,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
14,Shallow,"Lady Gaga",1952317,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
15,"Mo Bamba","Sheck Wes",1900062,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
