,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",7000445,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",4606471,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,Tusa,"KAROL G",4162664,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
4,Memories,"Maroon 5",3670878,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,Falling,"Trevor Daniel",3587858,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
6,"Don't Start Now","Dua Lipa",3570383,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Circles,"Post Malone",3515276,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"Blinding Lights","The Weeknd",3288656,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
9,Señorita,"Shawn Mendes",3106474,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
10,"everything i wanted","Billie Eilish",3079830,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,"RITMO (Bad Boys For Life)","Black Eyed Peas",3033553,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
12,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",2898907,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
13,"Someone You Loved","Lewis Capaldi",2797038,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"The Box","Roddy Ricch",2553023,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
15,"bad guy","Billie Eilish",2523066,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
16,"Adore You","Harry Styles",2517537,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
17,"OUT WEST (feat. Young Thug)",JACKBOYS,2327257,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
18,"My Oh My (feat. DaBaby)","Camila Cabello",2293188,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
19,Vete,"Bad Bunny",2284185,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
20,"Lose You To Love Me","Selena Gomez",2256106,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
21,"hot girl bummer",blackbear,2160146,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
22,"GANG GANG",JACKBOYS,2099797,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK
23,"Watermelon Sugar","Harry Styles",2094153,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
24,"Ride It",Regard,2091805,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
25,"WHAT TO DO? (feat. Don Toliver)",JACKBOYS,2074482,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe
26,"Had Enough (feat. Quavo & Offset)","Don Toliver",2050393,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN
27,"HIGHEST IN THE ROOM","Travis Scott",1977372,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
28,China,"Anuel AA",1899533,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
29,Heartless,"The Weeknd",1855649,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
30,BOP,DaBaby,1837704,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
31,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1826452,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
32,"Lucid Dreams","Juice WRLD",1809812,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
33,"Beautiful People (feat. Khalid)","Ed Sheeran",1776751,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
34,Fantasias,"Rauw Alejandro",1767634,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
35,"I Don't Care (with Justin Bieber)","Ed Sheeran",1758391,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
36,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",1701792,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
37,"No Idea","Don Toliver",1689538,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
